ITTER107,TIPO_DATO_AVQ,TIME,Value
ITD3,6_WEEK_RELIG,2017,1302
ITD3,6_WEEK_RELIG,2018,1155
ITD3,6_WEEK_RELIG,2019,1129
ITC4,6_WEEK_RELIG,2017,2539
ITC4,6_WEEK_RELIG,2018,2371
ITC4,6_WEEK_RELIG,2019,2594
ITC1,6_NEVER_RELIG,2017,1105
ITC1,6_NEVER_RELIG,2018,1179
ITC1,6_NEVER_RELIG,2019,1267
ITE4,6_WEEK_RELIG,2017,1383
ITE4,6_WEEK_RELIG,2018,1330
ITE4,6_WEEK_RELIG,2019,1152
ITD4,6_NEVER_RELIG,2017,353
ITD4,6_NEVER_RELIG,2018,339
ITD4,6_NEVER_RELIG,2019,393
ITC4,6_NEVER_RELIG,2017,2586
ITC4,6_NEVER_RELIG,2018,2795
ITC4,6_NEVER_RELIG,2019,2810
ITDA,6_WEEK_RELIG,2017,267
ITDA,6_WEEK_RELIG,2018,238
ITDA,6_WEEK_RELIG,2019,220
ITC1,6_WEEK_RELIG,2017,1007
ITC1,6_WEEK_RELIG,2018,797
ITC1,6_WEEK_RELIG,2019,870
ITD3,6_NEVER_RELIG,2017,964
ITD3,6_NEVER_RELIG,2018,980
ITD3,6_NEVER_RELIG,2019,1182
ITC3,6_WEEK_RELIG,2017,252
ITC3,6_WEEK_RELIG,2018,282
ITC3,6_WEEK_RELIG,2019,241
ITD5,6_NEVER_RELIG,2017,1520
ITD5,6_NEVER_RELIG,2018,1469
ITD5,6_NEVER_RELIG,2019,1668
ITC2,6_NEVER_RELIG,2017,37
ITC2,6_NEVER_RELIG,2018,41
ITC2,6_NEVER_RELIG,2019,32
ITD4,6_WEEK_RELIG,2017,243
ITD4,6_WEEK_RELIG,2018,237
ITD4,6_WEEK_RELIG,2019,219
ITC2,6_WEEK_RELIG,2017,22
ITC2,6_WEEK_RELIG,2018,20
ITC2,6_WEEK_RELIG,2019,25
ITE2,6_WEEK_RELIG,2017,177
ITE2,6_WEEK_RELIG,2018,177
ITE2,6_WEEK_RELIG,2019,168
ITC3,6_NEVER_RELIG,2017,536
ITC3,6_NEVER_RELIG,2018,509
ITC3,6_NEVER_RELIG,2019,590
ITDA,6_NEVER_RELIG,2017,214
ITDA,6_NEVER_RELIG,2018,244
ITDA,6_NEVER_RELIG,2019,248
ITF6,6_NEVER_RELIG,2017,263
ITF6,6_NEVER_RELIG,2018,281
ITF6,6_NEVER_RELIG,2019,305
ITF3,6_WEEK_RELIG,2017,1742
ITF3,6_WEEK_RELIG,2018,1643
ITF3,6_WEEK_RELIG,2019,1802
ITF2,6_WEEK_RELIG,2017,90
ITF2,6_WEEK_RELIG,2018,80
ITF2,6_WEEK_RELIG,2019,83
ITD5,6_WEEK_RELIG,2017,834
ITD5,6_WEEK_RELIG,2018,836
ITD5,6_WEEK_RELIG,2019,797
ITE2,6_NEVER_RELIG,2017,208
ITE2,6_NEVER_RELIG,2018,218
ITE2,6_NEVER_RELIG,2019,223
ITG1,6_NEVER_RELIG,2017,821
ITG1,6_NEVER_RELIG,2018,1104
ITG1,6_NEVER_RELIG,2019,814
ITF5,6_WEEK_RELIG,2017,164
ITF5,6_WEEK_RELIG,2018,151
ITF5,6_WEEK_RELIG,2019,146
ITF4,6_NEVER_RELIG,2017,624
ITF4,6_NEVER_RELIG,2018,622
ITF4,6_NEVER_RELIG,2019,684
ITE1,6_WEEK_RELIG,2017,682
ITE1,6_WEEK_RELIG,2018,658
ITE1,6_WEEK_RELIG,2019,602
ITG2,6_WEEK_RELIG,2017,382
ITG2,6_WEEK_RELIG,2018,366
ITG2,6_WEEK_RELIG,2019,346
ITF1,6_WEEK_RELIG,2017,310
ITF1,6_WEEK_RELIG,2018,326
ITF1,6_WEEK_RELIG,2019,287
ITG1,6_WEEK_RELIG,2017,1492
ITG1,6_WEEK_RELIG,2018,1409
ITG1,6_WEEK_RELIG,2019,1498
ITF1,6_NEVER_RELIG,2017,218
ITF1,6_NEVER_RELIG,2018,268
ITF1,6_NEVER_RELIG,2019,282
ITE3,6_NEVER_RELIG,2017,318
ITE3,6_NEVER_RELIG,2018,311
ITE3,6_NEVER_RELIG,2019,344
ITE4,6_NEVER_RELIG,2017,1485
ITE4,6_NEVER_RELIG,2018,1539
ITE4,6_NEVER_RELIG,2019,1640
ITE3,6_WEEK_RELIG,2017,404
ITE3,6_WEEK_RELIG,2018,413
ITE3,6_WEEK_RELIG,2019,407
ITF5,6_NEVER_RELIG,2017,80
ITF5,6_NEVER_RELIG,2018,87
ITF5,6_NEVER_RELIG,2019,102
ITF6,6_WEEK_RELIG,2017,622
ITF6,6_WEEK_RELIG,2018,599
ITF6,6_WEEK_RELIG,2019,588
ITF4,6_WEEK_RELIG,2017,1318
ITF4,6_WEEK_RELIG,2018,1179
ITF4,6_WEEK_RELIG,2019,1180
ITF3,6_NEVER_RELIG,2017,780
ITF3,6_NEVER_RELIG,2018,839
ITF3,6_NEVER_RELIG,2019,935
ITG2,6_NEVER_RELIG,2017,398
ITG2,6_NEVER_RELIG,2018,480
ITG2,6_NEVER_RELIG,2019,483
ITE1,6_NEVER_RELIG,2017,1255
ITE1,6_NEVER_RELIG,2018,1308
ITE1,6_NEVER_RELIG,2019,1368
ITF2,6_NEVER_RELIG,2017,51
ITF2,6_NEVER_RELIG,2018,56
ITF2,6_NEVER_RELIG,2019,60
