RESIDENCE_TERR,CITIZENSHIP_MOTHER,MOTHER_AGE,OBS_VALUE
ITC1,FRG,Y_UN17,17
ITC1,FRG,Y18,32
ITC1,FRG,Y19,89
ITC1,FRG,Y20,120
ITC1,FRG,Y21,161
ITC1,FRG,Y22,208
ITC1,FRG,Y23,317
ITC1,FRG,Y24,327
ITC1,FRG,Y25,385
ITC1,ITL,Y_UN17,29
ITC1,ITL,Y18,46
ITC1,ITL,Y19,95
ITC1,ITL,Y20,136
ITC1,ITL,Y21,153
ITC1,ITL,Y22,209
ITC1,ITL,Y23,242
ITC1,ITL,Y24,353
ITC1,ITL,Y25,497
ITC1,TOTAL,Y_UN17,46
ITC1,TOTAL,Y18,78
ITC1,TOTAL,Y19,184
ITC1,TOTAL,Y20,256
ITC1,TOTAL,Y21,314
ITC1,TOTAL,Y22,417
ITC1,TOTAL,Y23,559
ITC1,TOTAL,Y24,680
ITC1,TOTAL,Y25,882
ITC2,FRG,Y_UN17,0
ITC2,FRG,Y18,1
ITC2,FRG,Y19,2
ITC2,FRG,Y20,3
ITC2,FRG,Y21,4
ITC2,FRG,Y22,4
ITC2,FRG,Y23,11
ITC2,FRG,Y24,3
ITC2,FRG,Y25,10
ITC2,ITL,Y_UN17,1
ITC2,ITL,Y18,0
ITC2,ITL,Y19,4
ITC2,ITL,Y20,4
ITC2,ITL,Y21,4
ITC2,ITL,Y22,5
ITC2,ITL,Y23,12
ITC2,ITL,Y24,14
ITC2,ITL,Y25,32
ITC2,TOTAL,Y_UN17,1
ITC2,TOTAL,Y18,1
ITC2,TOTAL,Y19,6
ITC2,TOTAL,Y20,7
ITC2,TOTAL,Y21,8
ITC2,TOTAL,Y22,9
ITC2,TOTAL,Y23,23
ITC2,TOTAL,Y24,17
ITC2,TOTAL,Y25,42
ITC3,FRG,Y_UN17,6
ITC3,FRG,Y18,11
ITC3,FRG,Y19,41
ITC3,FRG,Y20,62
ITC3,FRG,Y21,64
ITC3,FRG,Y22,108
ITC3,FRG,Y23,102
ITC3,FRG,Y24,143
ITC3,FRG,Y25,116
ITC3,ITL,Y_UN17,8
ITC3,ITL,Y18,10
ITC3,ITL,Y19,34
ITC3,ITL,Y20,33
ITC3,ITL,Y21,40
ITC3,ITL,Y22,47
ITC3,ITL,Y23,77
ITC3,ITL,Y24,112
ITC3,ITL,Y25,152
ITC3,TOTAL,Y_UN17,14
ITC3,TOTAL,Y18,21
ITC3,TOTAL,Y19,75
ITC3,TOTAL,Y20,95
ITC3,TOTAL,Y21,104
ITC3,TOTAL,Y22,155
ITC3,TOTAL,Y23,179
ITC3,TOTAL,Y24,255
ITC3,TOTAL,Y25,268
ITC4,FRG,Y_UN17,60
ITC4,FRG,Y18,62
ITC4,FRG,Y19,195
ITC4,FRG,Y20,345
ITC4,FRG,Y21,486
ITC4,FRG,Y22,627
ITC4,FRG,Y23,807
ITC4,FRG,Y24,907
ITC4,FRG,Y25,1065
ITC4,ITL,Y_UN17,74
ITC4,ITL,Y18,103
ITC4,ITL,Y19,182
ITC4,ITL,Y20,266
ITC4,ITL,Y21,324
ITC4,ITL,Y22,434
ITC4,ITL,Y23,577
ITC4,ITL,Y24,793
ITC4,ITL,Y25,1045
ITC4,TOTAL,Y_UN17,134
ITC4,TOTAL,Y18,165
ITC4,TOTAL,Y19,377
ITC4,TOTAL,Y20,611
ITC4,TOTAL,Y21,810
ITC4,TOTAL,Y22,1061
ITC4,TOTAL,Y23,1384
ITC4,TOTAL,Y24,1700
ITC4,TOTAL,Y25,2110
ITD1,FRG,Y_UN17,0
ITD1,FRG,Y18,5
ITD1,FRG,Y19,12
ITD1,FRG,Y20,12
ITD1,FRG,Y21,23
ITD1,FRG,Y22,31
ITD1,FRG,Y23,36
ITD1,FRG,Y24,53
ITD1,FRG,Y25,56
ITD1,ITL,Y_UN17,7
ITD1,ITL,Y18,6
ITD1,ITL,Y19,21
ITD1,ITL,Y20,29
ITD1,ITL,Y21,30
ITD1,ITL,Y22,45
ITD1,ITL,Y23,71
ITD1,ITL,Y24,109
ITD1,ITL,Y25,143
ITD1,TOTAL,Y_UN17,7
ITD1,TOTAL,Y18,11
ITD1,TOTAL,Y19,33
ITD1,TOTAL,Y20,41
ITD1,TOTAL,Y21,53
ITD1,TOTAL,Y22,76
ITD1,TOTAL,Y23,107
ITD1,TOTAL,Y24,162
ITD1,TOTAL,Y25,199
ITD2,FRG,Y_UN17,0
ITD2,FRG,Y18,4
ITD2,FRG,Y19,10
ITD2,FRG,Y20,12
ITD2,FRG,Y21,28
ITD2,FRG,Y22,37
ITD2,FRG,Y23,39
ITD2,FRG,Y24,46
ITD2,FRG,Y25,55
ITD2,ITL,Y_UN17,7
ITD2,ITL,Y18,3
ITD2,ITL,Y19,14
ITD2,ITL,Y20,17
ITD2,ITL,Y21,24
ITD2,ITL,Y22,31
ITD2,ITL,Y23,42
ITD2,ITL,Y24,45
ITD2,ITL,Y25,85
ITD2,TOTAL,Y_UN17,7
ITD2,TOTAL,Y18,7
ITD2,TOTAL,Y19,24
ITD2,TOTAL,Y20,29
ITD2,TOTAL,Y21,52
ITD2,TOTAL,Y22,68
ITD2,TOTAL,Y23,81
ITD2,TOTAL,Y24,91
ITD2,TOTAL,Y25,140
ITD3,FRG,Y_UN17,8
ITD3,FRG,Y18,28
ITD3,FRG,Y19,91
ITD3,FRG,Y20,160
ITD3,FRG,Y21,213
ITD3,FRG,Y22,291
ITD3,FRG,Y23,390
ITD3,FRG,Y24,425
ITD3,FRG,Y25,462
ITD3,ITL,Y_UN17,24
ITD3,ITL,Y18,53
ITD3,ITL,Y19,87
ITD3,ITL,Y20,117
ITD3,ITL,Y21,155
ITD3,ITL,Y22,221
ITD3,ITL,Y23,276
ITD3,ITL,Y24,372
ITD3,ITL,Y25,529
ITD3,TOTAL,Y_UN17,32
ITD3,TOTAL,Y18,81
ITD3,TOTAL,Y19,178
ITD3,TOTAL,Y20,277
ITD3,TOTAL,Y21,368
ITD3,TOTAL,Y22,512
ITD3,TOTAL,Y23,666
ITD3,TOTAL,Y24,797
ITD3,TOTAL,Y25,991
ITD4,FRG,Y_UN17,0
ITD4,FRG,Y18,5
ITD4,FRG,Y19,20
ITD4,FRG,Y20,22
ITD4,FRG,Y21,48
ITD4,FRG,Y22,72
ITD4,FRG,Y23,63
ITD4,FRG,Y24,89
ITD4,FRG,Y25,101
ITD4,ITL,Y_UN17,11
ITD4,ITL,Y18,17
ITD4,ITL,Y19,27
ITD4,ITL,Y20,21
ITD4,ITL,Y21,35
ITD4,ITL,Y22,59
ITD4,ITL,Y23,73
ITD4,ITL,Y24,97
ITD4,ITL,Y25,141
ITD4,TOTAL,Y_UN17,11
ITD4,TOTAL,Y18,22
ITD4,TOTAL,Y19,47
ITD4,TOTAL,Y20,43
ITD4,TOTAL,Y21,83
ITD4,TOTAL,Y22,131
ITD4,TOTAL,Y23,136
ITD4,TOTAL,Y24,186
ITD4,TOTAL,Y25,242
ITD5,FRG,Y_UN17,20
ITD5,FRG,Y18,41
ITD5,FRG,Y19,108
ITD5,FRG,Y20,164
ITD5,FRG,Y21,261
ITD5,FRG,Y22,336
ITD5,FRG,Y23,388
ITD5,FRG,Y24,447
ITD5,FRG,Y25,523
ITD5,ITL,Y_UN17,20
ITD5,ITL,Y18,25
ITD5,ITL,Y19,77
ITD5,ITL,Y20,114
ITD5,ITL,Y21,126
ITD5,ITL,Y22,188
ITD5,ITL,Y23,230
ITD5,ITL,Y24,327
ITD5,ITL,Y25,449
ITD5,TOTAL,Y_UN17,40
ITD5,TOTAL,Y18,66
ITD5,TOTAL,Y19,185
ITD5,TOTAL,Y20,278
ITD5,TOTAL,Y21,387
ITD5,TOTAL,Y22,524
ITD5,TOTAL,Y23,618
ITD5,TOTAL,Y24,774
ITD5,TOTAL,Y25,972
ITDA,FRG,Y_UN17,0
ITDA,FRG,Y18,9
ITDA,FRG,Y19,22
ITDA,FRG,Y20,24
ITDA,FRG,Y21,51
ITDA,FRG,Y22,68
ITDA,FRG,Y23,75
ITDA,FRG,Y24,99
ITDA,FRG,Y25,111
ITDA,ITL,Y_UN17,14
ITDA,ITL,Y18,9
ITDA,ITL,Y19,35
ITDA,ITL,Y20,46
ITDA,ITL,Y21,54
ITDA,ITL,Y22,76
ITDA,ITL,Y23,113
ITDA,ITL,Y24,154
ITDA,ITL,Y25,228
