Territorio,Classe di età,Value
Piemonte,15-19 anni,32
Valle d'Aosta / Vallée d'Aoste,15-19 anni,1
Liguria,15-19 anni,1
Lombardia,15-19 anni,43
Trentino Alto Adige / Südtirol,15-19 anni,9
Veneto,15-19 anni,33
Friuli-Venezia Giulia,15-19 anni,15
Emilia-Romagna,15-19 anni,29
Toscana,15-19 anni,28
Umbria,15-19 anni,6
Marche,15-19 anni,14
Lazio,15-19 anni,70
Abruzzo,15-19 anni,12
Molise,15-19 anni,1
Campania,15-19 anni,1
Puglia,15-19 anni,100
Basilicata,15-19 anni,5
Calabria,15-19 anni,15
Sicilia,15-19 anni,123
Sardegna,15-19 anni,14
Piemonte,20-24 anni,148
Valle d'Aosta / Vallée d'Aoste,20-24 anni,8
Liguria,20-24 anni,6
Lombardia,20-24 anni,183
Trentino Alto Adige / Südtirol,20-24 anni,52
Veneto,20-24 anni,235
Friuli-Venezia Giulia,20-24 anni,65
Emilia-Romagna,20-24 anni,215
Toscana,20-24 anni,155
Umbria,20-24 anni,35
Marche,20-24 anni,70
Lazio,20-24 anni,297
Abruzzo,20-24 anni,66
Molise,20-24 anni,10
Campania,20-24 anni,6
Puglia,20-24 anni,284
Basilicata,20-24 anni,25
Calabria,20-24 anni,119
Sicilia,20-24 anni,393
Sardegna,20-24 anni,81
Piemonte,25-29 anni,328
Valle d'Aosta / Vallée d'Aoste,25-29 anni,6
Liguria,25-29 anni,24
Lombardia,25-29 anni,541
Trentino Alto Adige / Südtirol,25-29 anni,142
Veneto,25-29 anni,578
Friuli-Venezia Giulia,25-29 anni,158
Emilia-Romagna,25-29 anni,465
Toscana,25-29 anni,417
Umbria,25-29 anni,49
Marche,25-29 anni,176
Lazio,25-29 anni,801
Abruzzo,25-29 anni,153
Molise,25-29 anni,35
Campania,25-29 anni,31
Puglia,25-29 anni,648
Basilicata,25-29 anni,79
Calabria,25-29 anni,317
Sicilia,25-29 anni,905
Sardegna,25-29 anni,190
