Territorio dell'evento,Età e classe di età,Value
Piemonte,15-19 anni,423
Valle d'Aosta / Vallée d'Aoste,15-19 anni,10
Liguria,15-19 anni,180
Lombardia,15-19 anni,873
Trentino Alto Adige / Südtirol,15-19 anni,89
Veneto,15-19 anni,283
Friuli-Venezia Giulia,15-19 anni,114
Emilia-Romagna,15-19 anni,347
Toscana,15-19 anni,327
Umbria,15-19 anni,61
Marche,15-19 anni,91
Lazio,15-19 anni,511
Abruzzo,15-19 anni,92
Molise,15-19 anni,19
Campania,15-19 anni,393
Puglia,15-19 anni,501
Basilicata,15-19 anni,15
Calabria,15-19 anni,96
Sicilia,15-19 anni,449
Sardegna,15-19 anni,129
Piemonte,20-24 anni,1080
Valle d'Aosta / Vallée d'Aoste,20-24 anni,17
Liguria,20-24 anni,417
Lombardia,20-24 anni,2186
Trentino Alto Adige / Südtirol,20-24 anni,179
Veneto,20-24 anni,727
Friuli-Venezia Giulia,20-24 anni,239
Emilia-Romagna,20-24 anni,1094
Toscana,20-24 anni,870
Umbria,20-24 anni,144
Marche,20-24 anni,235
Lazio,20-24 anni,1227
Abruzzo,20-24 anni,243
Molise,20-24 anni,65
Campania,20-24 anni,1000
Puglia,20-24 anni,1018
Basilicata,20-24 anni,87
Calabria,20-24 anni,256
Sicilia,20-24 anni,861
Sardegna,20-24 anni,245
