Region code,Region,Age,Sex,Population
ITC1,Piemonte,0,Total,30680
ITC1,Piemonte,0,Males,15597
ITC1,Piemonte,0,Females,15083
ITC1,Piemonte,1,Total,31895
ITC1,Piemonte,1,Males,16306
ITC1,Piemonte,1,Females,15589
ITC1,Piemonte,2,Total,32793
ITC1,Piemonte,2,Males,17115
ITC1,Piemonte,2,Females,15678
ITC1,Piemonte,3,Total,34333
ITC1,Piemonte,3,Males,17539
ITC1,Piemonte,3,Females,16794
ITC1,Piemonte,4,Total,35154
ITC1,Piemonte,4,Males,18066
ITC1,Piemonte,4,Females,17088
ITC1,Piemonte,5,Total,36574
ITC1,Piemonte,5,Males,18799
ITC1,Piemonte,5,Females,17775
ITC1,Piemonte,6,Total,36821
ITC1,Piemonte,6,Males,19188
ITC1,Piemonte,6,Females,17633
ITC1,Piemonte,7,Total,37682
ITC1,Piemonte,7,Males,19433
ITC1,Piemonte,7,Females,18249
ITC1,Piemonte,8,Total,38798
ITC1,Piemonte,8,Males,19946
ITC1,Piemonte,8,Females,18852
ITC1,Piemonte,9,Total,39068
ITC1,Piemonte,9,Males,20184
ITC1,Piemonte,9,Females,18884
ITC1,Piemonte,10,Total,38957
ITC1,Piemonte,10,Males,20053
ITC1,Piemonte,10,Females,18904
ITC1,Piemonte,11,Total,38409
ITC1,Piemonte,11,Males,19773
ITC1,Piemonte,11,Females,18636
ITC1,Piemonte,12,Total,38139
ITC1,Piemonte,12,Males,19662
ITC1,Piemonte,12,Females,18477
ITC1,Piemonte,13,Total,38069
ITC1,Piemonte,13,Males,19728
ITC1,Piemonte,13,Females,18341
ITC1,Piemonte,14,Total,38192
ITC1,Piemonte,14,Males,19719
ITC1,Piemonte,14,Females,18473
ITC1,Piemonte,15,Total,37597
ITC1,Piemonte,15,Males,19171
ITC1,Piemonte,15,Females,18426
ITC1,Piemonte,16,Total,37662
ITC1,Piemonte,16,Males,19387
ITC1,Piemonte,16,Females,18275
ITC1,Piemonte,17,Total,39004
ITC1,Piemonte,17,Males,20218
ITC1,Piemonte,17,Females,18786
ITC1,Piemonte,18,Total,38476
ITC1,Piemonte,18,Males,20252
ITC1,Piemonte,18,Females,18224
ITC1,Piemonte,19,Total,39537
ITC1,Piemonte,19,Males,21038
ITC1,Piemonte,19,Females,18499
ITC1,Piemonte,20,Total,39132
ITC1,Piemonte,20,Males,20533
ITC1,Piemonte,20,Females,18599
ITC1,Piemonte,21,Total,38802
ITC1,Piemonte,21,Males,20561
ITC1,Piemonte,21,Females,18241
ITC1,Piemonte,22,Total,38659
ITC1,Piemonte,22,Males,20301
ITC1,Piemonte,22,Females,18358
ITC1,Piemonte,23,Total,39042
ITC1,Piemonte,23,Males,20262
ITC1,Piemonte,23,Females,18780
ITC1,Piemonte,24,Total,39599
ITC1,Piemonte,24,Males,20495
ITC1,Piemonte,24,Females,19104
ITC1,Piemonte,25,Total,40899
ITC1,Piemonte,25,Males,21168
ITC1,Piemonte,25,Females,19731
ITC1,Piemonte,26,Total,41399
ITC1,Piemonte,26,Males,21323
ITC1,Piemonte,26,Females,20076
ITC1,Piemonte,27,Total,42648
ITC1,Piemonte,27,Males,22068
ITC1,Piemonte,27,Females,20580
ITC1,Piemonte,28,Total,42205
ITC1,Piemonte,28,Males,21678
ITC1,Piemonte,28,Females,20527
ITC1,Piemonte,29,Total,43514
ITC1,Piemonte,29,Males,22298
ITC1,Piemonte,29,Females,21216
ITC1,Piemonte,30,Total,42581
ITC1,Piemonte,30,Males,21514
ITC1,Piemonte,30,Females,21067
ITC1,Piemonte,31,Total,43662
ITC1,Piemonte,31,Males,22253
ITC1,Piemonte,31,Females,21409
ITC1,Piemonte,32,Total,44869
ITC1,Piemonte,32,Males,22612
ITC1,Piemonte,32,Females,22257
ITC1,Piemonte,33,Total,45317
ITC1,Piemonte,33,Males,22710
ITC1,Piemonte,33,Females,22607
ITC1,Piemonte,34,Total,46747
ITC1,Piemonte,34,Males,23507
ITC1,Piemonte,34,Females,23240
ITC1,Piemonte,35,Total,48691
ITC1,Piemonte,35,Males,24489
ITC1,Piemonte,35,Females,24202
ITC1,Piemonte,36,Total,48820
ITC1,Piemonte,36,Males,24414
ITC1,Piemonte,36,Females,24406
ITC1,Piemonte,37,Total,50303
ITC1,Piemonte,37,Males,25136
ITC1,Piemonte,37,Females,25167
ITC1,Piemonte,38,Total,51665
ITC1,Piemonte,38,Males,25990
ITC1,Piemonte,38,Females,25675
ITC1,Piemonte,39,Total,55307
ITC1,Piemonte,39,Males,27672
ITC1,Piemonte,39,Females,27635
ITC1,Piemonte,40,Total,58256
ITC1,Piemonte,40,Males,28938
ITC1,Piemonte,40,Females,29318
ITC1,Piemonte,41,Total,61021
ITC1,Piemonte,41,Males,30331
ITC1,Piemonte,41,Females,30690
ITC1,Piemonte,42,Total,64585
ITC1,Piemonte,42,Males,32089
ITC1,Piemonte,42,Females,32496
ITC1,Piemonte,43,Total,67425
ITC1,Piemonte,43,Males,33689
ITC1,Piemonte,43,Females,33736
ITC1,Piemonte,44,Total,67366
ITC1,Piemonte,44,Males,33870
ITC1,Piemonte,44,Females,33496
ITC1,Piemonte,45,Total,69155
ITC1,Piemonte,45,Males,34589
ITC1,Piemonte,45,Females,34566
ITC1,Piemonte,46,Total,70192
ITC1,Piemonte,46,Males,34808
ITC1,Piemonte,46,Females,35384
ITC1,Piemonte,47,Total,69620
ITC1,Piemonte,47,Males,34649
ITC1,Piemonte,47,Females,34971
ITC1,Piemonte,48,Total,72051
ITC1,Piemonte,48,Males,35826
ITC1,Piemonte,48,Females,36225
ITC1,Piemonte,49,Total,71536
ITC1,Piemonte,49,Males,35517
ITC1,Piemonte,49,Females,36019
ITC1,Piemonte,50,Total,71584
ITC1,Piemonte,50,Males,35437
ITC1,Piemonte,50,Females,36147
ITC1,Piemonte,51,Total,72028
ITC1,Piemonte,51,Males,35827
ITC1,Piemonte,51,Females,36201
ITC1,Piemonte,52,Total,71809
ITC1,Piemonte,52,Males,35561
ITC1,Piemonte,52,Females,36248
ITC1,Piemonte,53,Total,72793
ITC1,Piemonte,53,Males,35838
ITC1,Piemonte,53,Females,36955
ITC1,Piemonte,54,Total,67958
ITC1,Piemonte,54,Males,33433
ITC1,Piemonte,54,Females,34525
ITC1,Piemonte,55,Total,65482
ITC1,Piemonte,55,Males,32003
ITC1,Piemonte,55,Females,33479
ITC1,Piemonte,56,Total,64752
ITC1,Piemonte,56,Males,31636
ITC1,Piemonte,56,Females,33116
ITC1,Piemonte,57,Total,62609
ITC1,Piemonte,57,Males,30497
ITC1,Piemonte,57,Females,32112
ITC1,Piemonte,58,Total,61245
ITC1,Piemonte,58,Males,30129
ITC1,Piemonte,58,Females,31116
ITC1,Piemonte,59,Total,59429
ITC1,Piemonte,59,Males,29045
ITC1,Piemonte,59,Females,30384
ITC1,Piemonte,60,Total,59185
ITC1,Piemonte,60,Males,28889
ITC1,Piemonte,60,Females,30296
ITC1,Piemonte,61,Total,57927
ITC1,Piemonte,61,Males,28122
ITC1,Piemonte,61,Females,29805
ITC1,Piemonte,62,Total,56811
ITC1,Piemonte,62,Males,27618
ITC1,Piemonte,62,Females,29193
ITC1,Piemonte,63,Total,56009
ITC1,Piemonte,63,Males,26961
ITC1,Piemonte,63,Females,29048
ITC1,Piemonte,64,Total,54051
ITC1,Piemonte,64,Males,26158
ITC1,Piemonte,64,Females,27893
ITC1,Piemonte,65,Total,53937
ITC1,Piemonte,65,Males,26142
ITC1,Piemonte,65,Females,27795
ITC1,Piemonte,66,Total,52986
ITC1,Piemonte,66,Males,25297
ITC1,Piemonte,66,Females,27689
ITC1,Piemonte,67,Total,55262
ITC1,Piemonte,67,Males,26274
ITC1,Piemonte,67,Females,28988
ITC1,Piemonte,68,Total,55580
ITC1,Piemonte,68,Males,26533
ITC1,Piemonte,68,Females,29047
ITC1,Piemonte,69,Total,58424
ITC1,Piemonte,69,Males,27761
ITC1,Piemonte,69,Females,30663
ITC1,Piemonte,70,Total,56996
ITC1,Piemonte,70,Males,27100
ITC1,Piemonte,70,Females,29896
ITC1,Piemonte,71,Total,55411
ITC1,Piemonte,71,Males,26188
ITC1,Piemonte,71,Females,29223
ITC1,Piemonte,72,Total,42190
ITC1,Piemonte,72,Males,19812
ITC1,Piemonte,72,Females,22378
ITC1,Piemonte,73,Total,45018
ITC1,Piemonte,73,Males,20935
ITC1,Piemonte,73,Females,24083
ITC1,Piemonte,74,Total,44495
ITC1,Piemonte,74,Males,20269
ITC1,Piemonte,74,Females,24226
ITC1,Piemonte,75,Total,44743
ITC1,Piemonte,75,Males,20389
ITC1,Piemonte,75,Females,24354
ITC1,Piemonte,76,Total,44767
ITC1,Piemonte,76,Males,20067
ITC1,Piemonte,76,Females,24700
ITC1,Piemonte,77,Total,48591
ITC1,Piemonte,77,Males,21742
ITC1,Piemonte,77,Females,26849
ITC1,Piemonte,78,Total,47653
ITC1,Piemonte,78,Males,21017
ITC1,Piemonte,78,Females,26636
