Region code,Region,Age,Sex,Population
ITC1,Piemonte,15,Total,37597
ITC1,Piemonte,15,Males,19171
ITC1,Piemonte,15,Females,18426
ITC1,Piemonte,16,Total,37662
ITC1,Piemonte,16,Males,19387
ITC1,Piemonte,16,Females,18275
ITC1,Piemonte,17,Total,39004
ITC1,Piemonte,17,Males,20218
ITC1,Piemonte,17,Females,18786
ITC1,Piemonte,18,Total,38476
ITC1,Piemonte,18,Males,20252
ITC1,Piemonte,18,Females,18224
ITC1,Piemonte,19,Total,39537
ITC1,Piemonte,19,Males,21038
ITC1,Piemonte,19,Females,18499
ITC1,Piemonte,20,Total,39132
ITC1,Piemonte,20,Males,20533
ITC1,Piemonte,20,Females,18599
ITC1,Piemonte,21,Total,38802
ITC1,Piemonte,21,Males,20561
ITC1,Piemonte,21,Females,18241
ITC1,Piemonte,22,Total,38659
ITC1,Piemonte,22,Males,20301
ITC1,Piemonte,22,Females,18358
ITC1,Piemonte,23,Total,39042
ITC1,Piemonte,23,Males,20262
ITC1,Piemonte,23,Females,18780
ITC1,Piemonte,24,Total,39599
ITC1,Piemonte,24,Males,20495
ITC1,Piemonte,24,Females,19104
ITC1,Piemonte,25,Total,40899
ITC1,Piemonte,25,Males,21168
ITC1,Piemonte,25,Females,19731
ITC2,Valle D'Aosta/Vallée D'Aoste,15,Total,1121
ITC2,Valle D'Aosta/Vallée D'Aoste,15,Males,604
ITC2,Valle D'Aosta/Vallée D'Aoste,15,Females,517
ITC2,Valle D'Aosta/Vallée D'Aoste,16,Total,1174
ITC2,Valle D'Aosta/Vallée D'Aoste,16,Males,618
ITC2,Valle D'Aosta/Vallée D'Aoste,16,Females,556
ITC2,Valle D'Aosta/Vallée D'Aoste,17,Total,1216
ITC2,Valle D'Aosta/Vallée D'Aoste,17,Males,635
ITC2,Valle D'Aosta/Vallée D'Aoste,17,Females,581
ITC2,Valle D'Aosta/Vallée D'Aoste,18,Total,1204
ITC2,Valle D'Aosta/Vallée D'Aoste,18,Males,627
ITC2,Valle D'Aosta/Vallée D'Aoste,18,Females,577
ITC2,Valle D'Aosta/Vallée D'Aoste,19,Total,1178
ITC2,Valle D'Aosta/Vallée D'Aoste,19,Males,618
