ITTER107,Region,Age,Males_value,Females_value,Population_value
ITC1,Piemonte,0,14418,14075,28493
ITC1,Piemonte,1,15605,15112,30717
ITC1,Piemonte,2,16367,15649,32016
ITC1,Piemonte,3,17114,15722,32836
ITC1,Piemonte,4,17482,16707,34189
ITC1,Piemonte,5,18074,17037,35111
ITC1,Piemonte,6,18785,17680,36465
ITC1,Piemonte,7,19128,17655,36783
ITC1,Piemonte,8,19356,18246,37602
ITC1,Piemonte,9,19883,18815,38698
ITC1,Piemonte,10,20153,18847,39000
ITC1,Piemonte,11,20038,18897,38935
ITC1,Piemonte,12,19732,18601,38333
ITC1,Piemonte,13,19634,18459,38093
ITC1,Piemonte,14,19725,18339,38064
ITC1,Piemonte,15,19722,18470,38192
ITC1,Piemonte,16,19208,18438,37646
ITC1,Piemonte,17,19424,18293,37717
ITC1,Piemonte,18,20405,18838,39243
ITC1,Piemonte,19,20536,18327,38863
ITC1,Piemonte,20,21246,18598,39844
ITC1,Piemonte,21,20799,18866,39665
ITC1,Piemonte,22,20696,18404,39100
ITC1,Piemonte,23,20519,18588,39107
ITC1,Piemonte,24,20496,18995,39491
ITC1,Piemonte,25,20712,19283,39995
ITC1,Piemonte,26,21390,19940,41330
ITC1,Piemonte,27,21547,20280,41827
ITC1,Piemonte,28,22277,20760,43037
ITC1,Piemonte,29,21853,20654,42507
ITC1,Piemonte,30,22479,21368,43847
ITC1,Piemonte,31,21657,21237,42894
ITC1,Piemonte,32,22290,21458,43748
ITC1,Piemonte,33,22740,22277,45017
ITC1,Piemonte,34,22695,22575,45270
ITC1,Piemonte,35,23538,23229,46767
ITC1,Piemonte,36,24514,24205,48719
ITC1,Piemonte,37,24426,24440,48866
ITC1,Piemonte,38,25133,25149,50282
ITC1,Piemonte,39,25925,25624,51549
ITC1,Piemonte,40,27636,27595,55231
ITC1,Piemonte,41,28872,29261,58133
ITC1,Piemonte,42,30287,30643,60930
ITC1,Piemonte,43,31999,32461,64460
ITC1,Piemonte,44,33664,33687,67351
ITC1,Piemonte,45,33836,33480,67316
ITC1,Piemonte,46,34542,34497,69039
ITC1,Piemonte,47,34753,35332,70085
ITC1,Piemonte,48,34490,34913,69403
ITC1,Piemonte,49,35727,36160,71887
ITC1,Piemonte,50,35436,35947,71383
ITC1,Piemonte,51,35330,36037,71367
ITC1,Piemonte,52,35748,36108,71856
ITC1,Piemonte,53,35383,36152,71535
ITC1,Piemonte,54,35694,36864,72558
ITC1,Piemonte,55,33306,34407,67713
ITC1,Piemonte,56,31805,33382,65187
