ITTER107,Region,Age,Males,Females,Population
ITC1,Piemonte,15,19753,18360,38113
ITC1,Piemonte,16,19757,18497,38254
ITC1,Piemonte,17,19259,18458,37717
ITC1,Piemonte,18,19628,18381,38009
ITC1,Piemonte,19,20637,19002,39639
ITC1,Piemonte,20,20734,18520,39254
ITC1,Piemonte,21,21331,18762,40093
ITC1,Piemonte,22,20902,19012,39914
ITC1,Piemonte,23,20810,18639,39449
ITC1,Piemonte,24,20627,18781,39408
ITC1,Piemonte,25,20662,19165,39827
ITC1,Piemonte,Total,224100,205577,429677
ITC2,Valle d'Aosta / Vallée d'Aoste,15,583,592,1175
ITC2,Valle d'Aosta / Vallée d'Aoste,16,595,587,1182
ITC2,Valle d'Aosta / Vallée d'Aoste,17,595,520,1115
ITC2,Valle d'Aosta / Vallée d'Aoste,18,625,558,1183
ITC2,Valle d'Aosta / Vallée d'Aoste,19,636,590,1226
ITC2,Valle d'Aosta / Vallée d'Aoste,20,622,570,1192
ITC2,Valle d'Aosta / Vallée d'Aoste,21,633,568,1201
ITC2,Valle d'Aosta / Vallée d'Aoste,22,588,544,1132
ITC2,Valle d'Aosta / Vallée d'Aoste,23,630,586,1216
ITC2,Valle d'Aosta / Vallée d'Aoste,24,610,544,1154
ITC2,Valle d'Aosta / Vallée d'Aoste,25,581,561,1142
ITC2,Valle d'Aosta / Vallée d'Aoste,Total,6698,6220,12918
ITC3,Liguria,15,6476,6172,12648
ITC3,Liguria,16,6461,5968,12429
ITC3,Liguria,17,6616,6162,12778
ITC3,Liguria,18,6656,6286,12942
ITC3,Liguria,19,6914,6325,13239
ITC3,Liguria,20,7000,6138,13138
ITC3,Liguria,21,7135,6253,13388
ITC3,Liguria,22,7003,6332,13335
ITC3,Liguria,23,7315,6331,13646
ITC3,Liguria,24,6956,6311,13267
ITC3,Liguria,25,6907,6443,13350
ITC3,Liguria,Total,75439,68721,144160
ITC4,Lombardia,15,49196,46883,96079
ITC4,Lombardia,16,48738,45352,94090
ITC4,Lombardia,17,48077,44769,92846
ITC4,Lombardia,18,48965,45473,94438
ITC4,Lombardia,19,50441,46118,96559
ITC4,Lombardia,20,50285,45505,95790
ITC4,Lombardia,21,51296,45312,96608
ITC4,Lombardia,22,50608,45548,96156
ITC4,Lombardia,23,50047,45646,95693
ITC4,Lombardia,24,49360,45629,94989
ITC4,Lombardia,25,49672,46619,96291
ITC4,Lombardia,Total,546685,502854,1049539
ITD3,Veneto,15,24434,22903,47337
ITD3,Veneto,16,23878,22581,46459
ITD3,Veneto,17,23819,22130,45949
ITD3,Veneto,18,23861,22057,45918
ITD3,Veneto,19,24839,23085,47924
ITD3,Veneto,20,24410,22854,47264
ITD3,Veneto,21,25119,22889,48008
ITD3,Veneto,22,25065,22951,48016
ITD3,Veneto,23,24876,22692,47568
ITD3,Veneto,24,24671,22235,46906
ITD3,Veneto,25,24364,22720,47084
ITD3,Veneto,Total,269336,249097,518433
ITD4,Friuli-Venezia Giulia,15,5359,5221,10580
ITD4,Friuli-Venezia Giulia,16,5469,5048,10517
ITD4,Friuli-Venezia Giulia,17,5362,5022,10384
ITD4,Friuli-Venezia Giulia,18,5565,5021,10586
ITD4,Friuli-Venezia Giulia,19,5672,5272,10944
ITD4,Friuli-Venezia Giulia,20,5548,5038,10586
ITD4,Friuli-Venezia Giulia,21,5659,5062,10721
ITD4,Friuli-Venezia Giulia,22,5556,5020,10576
ITD4,Friuli-Venezia Giulia,23,5759,5115,10874
ITD4,Friuli-Venezia Giulia,24,5565,5002,10567
ITD4,Friuli-Venezia Giulia,25,5547,5045,10592
ITD4,Friuli-Venezia Giulia,Total,61061,55866,116927
ITD5,Emilia-Romagna,15,20838,19620,40458
ITD5,Emilia-Romagna,16,20486,19008,39494
ITD5,Emilia-Romagna,17,20704,19111,39815
ITD5,Emilia-Romagna,18,20769,19141,39910
ITD5,Emilia-Romagna,19,21518,19308,40826
ITD5,Emilia-Romagna,20,21081,19047,40128
ITD5,Emilia-Romagna,21,21783,18687,40470
ITD5,Emilia-Romagna,22,21349,19144,40493
ITD5,Emilia-Romagna,23,21123,19286,40409
ITD5,Emilia-Romagna,24,21216,19141,40357
ITD5,Emilia-Romagna,25,21374,19848,41222
ITD5,Emilia-Romagna,Total,232241,211341,443582
ITDA,Trentino Alto Adige / Südtirol,15,5943,5586,11529
ITDA,Trentino Alto Adige / Südtirol,16,5857,5404,11261
ITDA,Trentino Alto Adige / Südtirol,17,5783,5381,11164
ITDA,Trentino Alto Adige / Südtirol,18,6042,5454,11496
ITDA,Trentino Alto Adige / Südtirol,19,6060,5712,11772
ITDA,Trentino Alto Adige / Südtirol,20,6093,5687,11780
ITDA,Trentino Alto Adige / Südtirol,21,6137,5791,11928
ITDA,Trentino Alto Adige / Südtirol,22,6230,5684,11914
ITDA,Trentino Alto Adige / Südtirol,23,6140,5741,11881
ITDA,Trentino Alto Adige / Südtirol,24,6065,5538,11603
ITDA,Trentino Alto Adige / Südtirol,25,6043,5730,11773
ITDA,Trentino Alto Adige / Südtirol,Total,66393,61708,128101
ITE1,Toscana,15,17135,16009,33144
ITE1,Toscana,16,16743,15605,32348
ITE1,Toscana,17,16905,15684,32589
ITE1,Toscana,18,16889,15758,32647
ITE1,Toscana,19,17340,15835,33175
ITE1,Toscana,20,17235,15268,32503
ITE1,Toscana,21,17731,15543,33274
ITE1,Toscana,22,17448,15606,33054
ITE1,Toscana,23,17320,15760,33080
ITE1,Toscana,24,17118,15676,32794
ITE1,Toscana,25,17037,16044,33081
