,ITTER107,Region,Population,Time,TIPO_DATO_AVQ,Value,Percentage
0,ITC1,Piemonte,8657130,2018,6_NEVER_RELIG,1179,13.618832107176397
1,ITC1,Piemonte,8657130,2018,6_WEEK_RELIG,797,9.206284299762162
2,ITC2,Valle d'Aosta / Vallée d'Aoste,251306,2018,6_NEVER_RELIG,41,16.314771632989263
3,ITC2,Valle d'Aosta / Vallée d'Aoste,251306,2018,6_WEEK_RELIG,20,7.958425186824031
4,ITC3,Liguria,3065960,2018,6_WEEK_RELIG,282,9.197771660426099
5,ITC3,Liguria,3065960,2018,6_NEVER_RELIG,509,16.601651684953488
6,ITC4,Lombardia,20021666,2018,6_WEEK_RELIG,2371,11.842171375748652
7,ITC4,Lombardia,20021666,2018,6_NEVER_RELIG,2795,13.95987726495887
8,ITD3,Veneto,9769180,2018,6_WEEK_RELIG,1155,11.822896087491479
9,ITD3,Veneto,9769180,2018,6_NEVER_RELIG,980,10.031548195447314
10,ITD4,Friuli-Venezia Giulia,2420828,2018,6_NEVER_RELIG,339,14.003473191817015
11,ITD4,Friuli-Venezia Giulia,2420828,2018,6_WEEK_RELIG,237,9.79003878011986
12,ITD5,Emilia-Romagna,8918906,2018,6_NEVER_RELIG,1469,16.470629918063942
13,ITD5,Emilia-Romagna,8918906,2018,6_WEEK_RELIG,836,9.373346910484313
14,ITDA,Trentino Alto Adige / Südtirol,2148068,2018,6_WEEK_RELIG,238,11.079723733140664
15,ITDA,Trentino Alto Adige / Südtirol,2148068,2018,6_NEVER_RELIG,244,11.359044499522362
16,ITE1,Toscana,7402686,2018,6_WEEK_RELIG,658,8.888665546532705
17,ITE1,Toscana,7402686,2018,6_NEVER_RELIG,1308,17.669262211040696
18,ITE2,Umbria,1747488,2018,6_WEEK_RELIG,177,10.1288249189694
19,ITE2,Umbria,1747488,2018,6_NEVER_RELIG,218,12.4750499001996
20,ITE3,Marche,3040642,2018,6_NEVER_RELIG,311,10.228103144007088
21,ITE3,Marche,3040642,2018,6_WEEK_RELIG,413,13.582657872909735
22,ITE4,Lazio,11546152,2018,6_WEEK_RELIG,1330,11.518989183582548
23,ITE4,Lazio,11546152,2018,6_NEVER_RELIG,1539,13.329116055288377
24,ITF1,Abruzzo,2601290,2018,6_WEEK_RELIG,326,12.532243617589735
25,ITF1,Abruzzo,2601290,2018,6_NEVER_RELIG,268,10.302580642681132
26,ITF2,Molise,607580,2018,6_WEEK_RELIG,80,13.166990355179564
27,ITF2,Molise,607580,2018,6_NEVER_RELIG,56,9.216893248625695
28,ITF3,Campania,11480582,2018,6_WEEK_RELIG,1643,14.311121160930691
29,ITF3,Campania,11480582,2018,6_NEVER_RELIG,839,7.3079918770668595
30,ITF4,Puglia,7951056,2018,6_NEVER_RELIG,622,7.822860259064959
31,ITF4,Puglia,7951056,2018,6_WEEK_RELIG,1179,14.828219044111876
32,ITF5,Basilicata,1117174,2018,6_WEEK_RELIG,151,13.516247245281397
33,ITF5,Basilicata,1117174,2018,6_NEVER_RELIG,87,7.787506690989944
34,ITF6,Calabria,3824042,2018,6_NEVER_RELIG,281,7.348245652113653
35,ITF6,Calabria,3824042,2018,6_WEEK_RELIG,599,15.664053898989604
36,ITG1,Sicilia,9817096,2018,6_NEVER_RELIG,1104,11.245688134250699
37,ITG1,Sicilia,9817096,2018,6_WEEK_RELIG,1409,14.352513207571771
38,ITG2,Sardegna,13061610,2018,6_WEEK_RELIG,366,2.802104794125686
39,ITG2,Sardegna,13061610,2018,6_NEVER_RELIG,480,3.674891533279588
