ITTER107,Region,Live_births,Miscarriages,Abortions,Total,Time
ITC1,Piemonte,5448,309,1670,7427,2017
ITC2,Valle d'Aosta / Vallée d'Aoste,142,9,46,197,2017
ITC3,Liguria,1794,92,664,2550,2017
ITC4,Lombardia,13468,599,3381,17448,2017
ITD3,Veneto,5944,287,1116,7347,2017
ITD4,Friuli-Venezia Giulia,1342,75,343,1760,2017
ITD5,Emilia-Romagna,6016,234,1644,7894,2017
ITDA,Trentino Alto Adige / Südtirol,1776,50,326,2152,2017
ITE1,Toscana,4392,221,1310,5923,2017
ITE2,Umbria,1056,41,275,1372,2017
ITE3,Marche,1846,96,383,2325,2017
ITE4,Lazio,6770,440,2189,9399,2017
ITF1,Abruzzo,1698,61,368,2127,2017
ITF2,Molise,368,20,102,490,2017
ITF3,Campania,12216,306,1736,14258,2017
ITF4,Puglia,6508,420,1794,8722,2017
ITF5,Basilicata,598,42,124,764,2017
ITF6,Calabria,3442,154,449,4045,2017
ITG1,Sicilia,11906,553,1555,14014,2017
ITG2,Sardegna,1730,80,511,2321,2017
