ITTER107,Region,Live_births,Miscarriages,Abortions,Total
ITC1,Piemonte,4758,564,1503,6825
ITC2,Valle d'Aosta / Vallée d'Aoste,136,11,27,174
ITC3,Liguria,1600,240,597,2437
ITC4,Lombardia,12100,1349,3059,16508
ITD3,Veneto,5300,839,1010,7149
ITD4,Friuli-Venezia Giulia,1224,250,353,1827
ITD5,Emilia-Romagna,5296,665,1441,7402
ITDA,Trentino Alto Adige / Südtirol,1642,199,268,2109
ITE1,Toscana,3762,624,1197,5583
ITE2,Umbria,908,109,205,1222
ITE3,Marche,1504,203,326,2033
ITE4,Lazio,5870,842,1738,8450
ITF1,Abruzzo,1388,212,335,1935
ITF2,Molise,326,47,84,457
ITF3,Campania,10200,1181,1393,12774
ITF4,Puglia,5782,921,1519,8222
ITF5,Basilicata,536,89,102,727
ITF6,Calabria,2746,379,352,3477
ITG1,Sicilia,10180,1253,1310,12743
ITG2,Sardegna,1404,262,374,2040
