ITTER107,Region,Live_births,Miscarriages,Abortions,Total,Time
ITC1,Piemonte,1.3250509541437028,0.07515432173832676,0.4061738424045491,1.8063791182865787,2019
ITC2,Valle d'Aosta / Vallée d'Aoste,1.1414790996784565,0.07234726688102894,0.36977491961414793,1.5836012861736335,2019
ITC3,Liguria,1.3052778626620685,0.06693732629036248,0.48311287670435527,1.855328065656786,2019
ITC4,Lombardia,1.3391560969983336,0.05956003134110497,0.3361810784044673,1.7348972067439057,2019
ITD3,Veneto,1.1931095115557393,0.057608080386355516,0.2240091209448528,1.4747267128869477,2019
ITD4,Friuli-Venezia Giulia,1.201088318476354,0.06712490602513156,0.3069845702216017,1.5751977947230873,2019
ITD5,Emilia-Romagna,1.4232922149511926,0.05536076766931168,0.38894488054849746,1.8675978631690018,2019
ITDA,Trentino Alto Adige / Südtirol,1.439035457315097,0.04051338562260971,0.2641472742594153,1.743696117197122,2019
ITE1,Toscana,1.2709215917772068,0.06395120031483668,0.37907725073500476,1.7139500428270482,2019
ITE2,Umbria,1.286549707602339,0.04995126705653021,0.3350389863547758,1.6715399610136452,2019
ITE3,Marche,1.2480056248140836,0.0649017009654128,0.2589307444765948,1.5718380702560912,2019
ITE4,Lazio,1.192174265236762,0.07748252240829767,0.38547554898128095,1.6551323366263406,2019
ITF1,Abruzzo,1.3318691662091144,0.04784688995215311,0.2886500902031532,1.6683661463644208,2019
ITF2,Molise,1.2140406439693852,0.06598046978094484,0.33650039588281866,1.6165215096331487,2019
ITF3,Campania,1.7208833191522932,0.04310660573515076,0.24455250835366577,2.0085424332411095,2019
ITF4,Puglia,1.4466722980482818,0.0933623794069266,0.39879073489530076,1.938825412350509,2019
ITF5,Basilicata,1.0067001111073701,0.07070469007777516,0.2087471802296219,1.2861519814147673,2019
ITF6,Calabria,1.6378932942497668,0.07328168719188381,0.21365894512438852,1.9248339265660392,2019
ITG1,Sicilia,2.1166598517306974,0.09831285889526925,0.27644935909971735,2.491422069725684,2019
ITG2,Sardegna,1.1719120456300551,0.05419246453780602,0.34615436723523596,1.572258877403097,2019
