,Region code_GENERAL,Region_GENERAL,Population,Time_GENERAL,Age range_GENERAL,Value,Females,Gender,Female Early Leavers
0,ITC1,Piemonte,4349911,2017,18-24,7.6,2238438,Females,3.9109142233025
1,ITC2,Valle D'Aosta/Vallée D'Aoste,126213,2017,18-24,11.8,64461,Females,6.026635924983956
2,ITC3,Liguria,1541541,2017,18-24,13.5,805080,Females,7.050464437857961
3,ITC4,Lombardia,9986962,2017,18-24,8.2,5103493,Females,4.190327609136792
4,ITD3,Veneto,4880936,2017,18-24,10.7,2496636,Females,5.473131628851515
5,ITD4,Friuli-Venezia Giulia,1211155,2017,18-24,7.3,623608,Females,3.7586753140597193
6,ITD5,Emilia-Romagna,4445920,2017,18-24,8.7,2286741,Females,4.474809870622953
7,ITDA,Trentino-Alto Adige/Südtirol,1068738,2017,18-24,9.1,542628,Females,4.620323035206009
8,ITE1,Toscana,3712048,2017,18-24,8.6,1920572,Females,4.449543540385253
9,ITE2,Umbria,876477,2017,18-24,8.5,454480,Females,4.40750869674846
10,ITE3,Marche,1526331,2017,18-24,5.0,785202,Females,2.5721878150938426
11,ITE4,Lazio,5774606,2017,18-24,8.4,2988655,Females,4.347431149415216
12,ITF1,Abruzzo,1306059,2017,18-24,7.7,669327,Females,3.946083523026142
13,ITF2,Molise,306564,2017,18-24,9.9,155333,Females,5.01623380436059
14,ITF3,Campania,5762889,2017,18-24,17.7,2954012,Females,9.07288209090961
15,ITF4,Puglia,4000966,2017,18-24,13.6,2056346,Females,6.989888341965415
16,ITF5,Basilicata,562968,2017,18-24,11.5,286113,Females,5.844558660527774
17,ITF6,Calabria,1924257,2017,18-24,10.4,981187,Females,5.303005159913671
18,ITG1,Sicilia,4942188,2017,18-24,17.4,2539317,Females,8.940193250438874
19,ITG2,Sardegna,1631040,2017,18-24,15.6,829671,Females,7.93534652736904
