,ITTER107,Region_GENERAL,Females,Time_GENERAL,Age range_GENERAL,Population,Value,Female Early Leavers
0,ITC1,Piemonte,4451082,2018,18-24,8657130,11.5,5.912749721905527
1,ITC2,Valle d'Aosta / Vallée d'Aoste,128364,2018,18-24,251306,13.6,6.946711976634063
2,ITC3,Liguria,1598874,2018,18-24,3065960,12.6,6.570800793226264
3,ITC4,Lombardia,10217264,2018,18-24,20021666,9.9,5.052072769568727
4,ITD3,Veneto,4987384,2018,18-24,9769180,10.6,5.411536116644386
5,ITD4,Friuli-Venezia Giulia,1243502,2018,18-24,2420828,6.9,3.544309550286101
6,ITD5,Emilia-Romagna,4579612,2018,18-24,8918906,9.1,4.672598769400642
7,ITDA,Trentino Alto Adige / Südtirol,1089510,2018,18-24,2148068,8.0,4.057636909073642
8,ITE1,Toscana,3826624,2018,18-24,7402686,9.8,5.065852475709493
9,ITE2,Umbria,904586,2018,18-24,1747488,7.1,3.6753102739475176
10,ITE3,Marche,1562466,2018,18-24,3040642,6.8,3.4942518060330676
11,ITE4,Lazio,5971072,2018,18-24,11546152,8.5,4.3957599033859935
12,ITF1,Abruzzo,1331168,2018,18-24,2601290,6.9,3.530963175962696
13,ITF2,Molise,308058,2018,18-24,607580,8.0,4.056196714835907
14,ITF3,Campania,5881466,2018,18-24,11480582,18.7,9.579951103524195
15,ITF4,Puglia,4082368,2018,18-24,7951056,13.0,6.674683714968175
16,ITF5,Basilicata,567780,2018,18-24,1117174,8.0,4.065830389894502
17,ITF6,Calabria,1948176,2018,18-24,3824042,14.7,7.4889834368973975
18,ITG1,Sicilia,5041790,2018,18-24,9817096,20.7,10.630949620946968
19,ITG2,Sardegna,6691600,2018,18-24,13061610,16.5,8.453123313282207
