,ITTER107,Region_GENERAL,Females,Time_GENERAL,Age range_GENERAL,Population,Value,Female Early Leavers
0,ITC1,Piemonte,4432318,2019,18-24,8622434,10.3,5.294662203271142
1,ITC2,Valle d'Aosta / Vallée d'Aoste,127826,2019,18-24,250068,9.7,4.958300142361278
2,ITC3,Liguria,1588910,2019,18-24,3049652,6.6,3.4386893980034445
3,ITC4,Lombardia,10230454,2019,18-24,20055204,10.1,5.1521582827080685
4,ITD3,Veneto,4978832,2019,18-24,9758266,7.6,3.877648262508933
5,ITD4,Friuli-Venezia Giulia,1238994,2019,18-24,2412432,7.4,3.800544678565033
6,ITD5,Emilia-Romagna,4580676,2019,18-24,8928238,8.5,4.360966407929538
7,ITDA,Trentino Alto Adige / Südtirol,1093126,2019,18-24,2156138,7.8,3.9544698901461777
8,ITE1,Toscana,3816474,2019,18-24,7385110,8.2,4.2375925070852025
9,ITE2,Umbria,900542,2019,18-24,1740330,8.4,4.34661977900743
10,ITE3,Marche,1553962,2019,18-24,3025344,5.6,2.8764289945209534
11,ITE4,Lazio,5953038,2019,18-24,11511400,10.2,5.274856889691957
12,ITF1,Abruzzo,1324396,2019,18-24,2587882,4.2,2.1494269058635593
13,ITF2,Molise,305126,2019,18-24,601032,7.0,3.5536909848394096
14,ITF3,Campania,5855054,2019,18-24,11424286,15.7,8.046397630451478
15,ITF4,Puglia,4059546,2019,18-24,7906610,14.4,7.39349258405309
16,ITF5,Basilicata,562208,2019,18-24,1106508,8.6,4.369592266843077
17,ITF6,Calabria,1932756,2019,18-24,3788220,16.6,8.469346975624436
18,ITG1,Sicilia,5008696,2019,18-24,9750580,20.1,10.325005240713887
19,ITG2,Sardegna,1639850,2019,18-24,3223242,13.1,6.664729176400655
