Territorio,live_births,Miscarriages,Abortions,Total
Piemonte,5448,309,3024.0,8781.0
Valle d'Aosta / Vallée d'Aoste,142,9,80.0,231.0
Liguria,1794,92,1176.0,3062.0
Lombardia,13468,599,6250.0,20317.0
Veneto,5944,287,2109.0,8340.0
Friuli-Venezia Giulia,1342,75,596.0,2013.0
Emilia-Romagna,6016,234,3151.0,9401.0
Trentino Alto Adige / Südtirol,1776,50,594.0,2420.0
Toscana,4392,221,2463.0,7076.0
Umbria,1056,41,539.0,1636.0
Marche,1846,96,678.0,2620.0
Lazio,6770,440,,7210.0
Abruzzo,1698,61,697.0,2456.0
Molise,368,20,172.0,560.0
Campania,12216,306,3296.0,15818.0
Puglia,6508,420,3144.0,10072.0
Basilicata,598,42,221.0,861.0
Calabria,3442,154,891.0,4487.0
Sicilia,11906,553,2836.0,15295.0
Sardegna,1730,80,857.0,2667.0
