"Region code","Region","Age","Sex","Population"
"01","Piemonte","15","Total","37597"
"01","Piemonte","15","Males","19171"
"01","Piemonte","15","Females","18426"
"01","Piemonte","16","Total","37662"
"01","Piemonte","16","Males","19387"
"01","Piemonte","16","Females","18275"
"01","Piemonte","17","Total","39004"
"01","Piemonte","17","Males","20218"
"01","Piemonte","17","Females","18786"
"01","Piemonte","18","Total","38476"
"01","Piemonte","18","Males","20252"
"01","Piemonte","18","Females","18224"
"01","Piemonte","19","Total","39537"
"01","Piemonte","19","Males","21038"
"01","Piemonte","19","Females","18499"
"01","Piemonte","20","Total","39132"
"01","Piemonte","20","Males","20533"
"01","Piemonte","20","Females","18599"
"01","Piemonte","21","Total","38802"
"01","Piemonte","21","Males","20561"
"01","Piemonte","21","Females","18241"
"01","Piemonte","22","Total","38659"
"01","Piemonte","22","Males","20301"
"01","Piemonte","22","Females","18358"
"01","Piemonte","23","Total","39042"
"01","Piemonte","23","Males","20262"
"01","Piemonte","23","Females","18780"
"01","Piemonte","24","Total","39599"
"01","Piemonte","24","Males","20495"
"01","Piemonte","24","Females","19104"
"01","Piemonte","25","Total","40899"
"01","Piemonte","25","Males","21168"
"01","Piemonte","25","Females","19731"
"02","Valle D'Aosta/Vallée D'Aoste","15","Total","1121"
"02","Valle D'Aosta/Vallée D'Aoste","15","Males","604"
"02","Valle D'Aosta/Vallée D'Aoste","15","Females","517"
"02","Valle D'Aosta/Vallée D'Aoste","16","Total","1174"
"02","Valle D'Aosta/Vallée D'Aoste","16","Males","618"
"02","Valle D'Aosta/Vallée D'Aoste","16","Females","556"
"02","Valle D'Aosta/Vallée D'Aoste","17","Total","1216"
"02","Valle D'Aosta/Vallée D'Aoste","17","Males","635"
"02","Valle D'Aosta/Vallée D'Aoste","17","Females","581"
"02","Valle D'Aosta/Vallée D'Aoste","18","Total","1204"
"02","Valle D'Aosta/Vallée D'Aoste","18","Males","627"
"02","Valle D'Aosta/Vallée D'Aoste","18","Females","577"
"02","Valle D'Aosta/Vallée D'Aoste","19","Total","1178"
"02","Valle D'Aosta/Vallée D'Aoste","19","Males","618"
"02","Valle D'Aosta/Vallée D'Aoste","19","Females","560"
"02","Valle D'Aosta/Vallée D'Aoste","20","Total","1119"
"02","Valle D'Aosta/Vallée D'Aoste","20","Males","576"
"02","Valle D'Aosta/Vallée D'Aoste","20","Females","543"
"02","Valle D'Aosta/Vallée D'Aoste","21","Total","1211"
"02","Valle D'Aosta/Vallée D'Aoste","21","Males","637"
"02","Valle D'Aosta/Vallée D'Aoste","21","Females","574"
"02","Valle D'Aosta/Vallée D'Aoste","22","Total","1153"
"02","Valle D'Aosta/Vallée D'Aoste","22","Males","605"
"02","Valle D'Aosta/Vallée D'Aoste","22","Females","548"
"02","Valle D'Aosta/Vallée D'Aoste","23","Total","1126"
"02","Valle D'Aosta/Vallée D'Aoste","23","Males","571"
"02","Valle D'Aosta/Vallée D'Aoste","23","Females","555"
"02","Valle D'Aosta/Vallée D'Aoste","24","Total","1139"
"02","Valle D'Aosta/Vallée D'Aoste","24","Males","582"
"02","Valle D'Aosta/Vallée D'Aoste","24","Females","557"
"02","Valle D'Aosta/Vallée D'Aoste","25","Total","1225"
"02","Valle D'Aosta/Vallée D'Aoste","25","Males","643"
"02","Valle D'Aosta/Vallée D'Aoste","25","Females","582"
"03","Lombardia","15","Total","92120"
"03","Lombardia","15","Males","47597"
"03","Lombardia","15","Females","44523"
"03","Lombardia","16","Total","93096"
"03","Lombardia","16","Males","48057"
"03","Lombardia","16","Females","45039"
"03","Lombardia","17","Total","94419"
"03","Lombardia","17","Males","48983"
"03","Lombardia","17","Females","45436"
"03","Lombardia","18","Total","93007"
"03","Lombardia","18","Males","48544"
"03","Lombardia","18","Females","44463"
"03","Lombardia","19","Total","93792"
"03","Lombardia","19","Males","49730"
"03","Lombardia","19","Females","44062"
"03","Lombardia","20","Total","93488"
"03","Lombardia","20","Males","49239"
"03","Lombardia","20","Females","44249"
"03","Lombardia","21","Total","92906"
"03","Lombardia","21","Males","48728"
"03","Lombardia","21","Females","44178"
"03","Lombardia","22","Total","91546"
"03","Lombardia","22","Males","47821"
"03","Lombardia","22","Females","43725"
"03","Lombardia","23","Total","92043"
"03","Lombardia","23","Males","47726"
"03","Lombardia","23","Females","44317"
"03","Lombardia","24","Total","93757"
"03","Lombardia","24","Males","48206"
"03","Lombardia","24","Females","45551"
"03","Lombardia","25","Total","97198"
"03","Lombardia","25","Males","49980"
"03","Lombardia","25","Females","47218"
"04","Trentino-Alto Adige/Südtirol","15","Total","11034"
"04","Trentino-Alto Adige/Südtirol","15","Males","5697"
"04","Trentino-Alto Adige/Südtirol","15","Females","5337"
"04","Trentino-Alto Adige/Südtirol","16","Total","11337"
"04","Trentino-Alto Adige/Südtirol","16","Males","5927"
"04","Trentino-Alto Adige/Südtirol","16","Females","5410"
"04","Trentino-Alto Adige/Südtirol","17","Total","11603"
"04","Trentino-Alto Adige/Südtirol","17","Males","5957"
"04","Trentino-Alto Adige/Südtirol","17","Females","5646"
"04","Trentino-Alto Adige/Südtirol","18","Total","11597"
"04","Trentino-Alto Adige/Südtirol","18","Males","5993"
"04","Trentino-Alto Adige/Südtirol","18","Females","5604"
"04","Trentino-Alto Adige/Südtirol","19","Total","11783"
