"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","5949","0","0","0","0","0","0","5949","5523","0","0","0","0","0","0","5523","11472"
"16","5895","0","0","0","0","0","0","5895","5440","0","1","0","0","0","0","5441","11336"
"17","6029","0","0","0","0","0","0","6029","5689","0","0","0","0","0","0","5689","11718"
"18","6360","1","0","0","0","0","0","6361","5615","11","0","0","0","0","0","5626","11987"
"19","6333","6","0","1","0","0","0","6340","5688","37","0","0","0","0","0","5725","12065"
"20","6474","14","0","0","1","0","0","6489","5836","73","1","0","0","0","0","5910","12399"
"21","6542","13","1","0","0","0","0","6556","5713","104","0","1","0","0","0","5818","12374"
"22","6480","39","0","0","0","0","0","6519","5918","164","1","0","1","0","0","6084","12603"
"23","6534","85","0","1","0","0","0","6620","5663","296","3","0","1","0","0","5963","12583"
"24","6633","122","1","0","2","0","0","6758","5914","404","5","1","0","0","0","6324","13082"
"25","6887","168","0","0","1","0","0","7056","5925","556","3","2","3","0","0","6489","13545"
"Total","70116","448","2","2","4","0","0","70572","62924","1645","14","4","5","0","0","64592","135164"
