"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","32955","0","0","0","0","0","0","32955","31567","0","0","0","0","0","0","31567","64522"
"16","32833","0","5","1","0","0","0","32839","31175","0","2","0","0","0","0","31177","64016"
"17","33936","2","2","0","0","0","0","33940","31669","6","1","0","0","0","0","31676","65616"
"18","34749","5","4","1","0","0","0","34759","32365","44","4","0","0","0","0","32413","67172"
"19","35300","16","12","0","0","0","0","35328","32291","165","4","3","0","0","0","32463","67791"
"20","35838","81","6","0","0","0","0","35925","32053","378","5","1","0","0","0","32437","68362"
"21","35559","142","6","0","3","0","0","35710","31802","742","3","1","0","0","0","32548","68258"
"22","35512","311","9","1","0","0","0","35833","31877","1236","6","1","0","0","0","33120","68953"
"23","34783","566","11","2","1","0","0","35363","31719","1996","9","2","1","0","0","33727","69090"
"24","35009","976","12","0","2","0","0","35999","30991","2994","20","1","1","0","0","34007","70006"
"25","34876","1494","5","1","4","0","0","36380","30470","4403","32","4","1","0","0","34910","71290"
"Total","381350","3593","72","6","10","0","0","385031","347979","11964","86","13","3","0","0","360045","745076"
