"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","5465","0","0","0","0","0","0","5465","5022","0","0","0","0","0","0","5022","10487"
"16","5329","0","0","0","0","0","0","5329","5013","0","0","0","0","0","0","5013","10342"
"17","5474","0","0","0","0","0","0","5474","5002","0","0","0","0","0","0","5002","10476"
"18","5588","0","0","0","0","0","0","5588","5224","9","0","0","0","0","0","5233","10821"
"19","5504","3","1","0","0","0","0","5508","4954","36","1","0","0","0","0","4991","10499"
"20","5576","8","0","0","0","0","0","5584","4956","68","1","0","0","0","0","5025","10609"
"21","5495","22","0","0","0","0","1","5518","4819","109","0","0","0","0","0","4928","10446"
"22","5697","29","0","0","1","0","0","5727","4843","206","1","0","0","0","0","5050","10777"
"23","5456","63","0","0","3","0","0","5522","4650","298","4","1","3","0","0","4956","10478"
"24","5413","116","1","0","0","0","0","5530","4550","431","4","3","2","0","0","4990","10520"
"25","5430","183","2","0","1","0","0","5616","4499","542","14","1","1","0","0","5057","10673"
"Total","60427","424","4","0","5","0","1","60861","53532","1699","25","5","6","0","0","55267","116128"
