"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","591","0","0","0","0","0","0","591","589","0","0","0","0","0","0","589","1180"
"16","599","0","0","0","0","0","0","599","517","0","0","0","0","0","0","517","1116"
"17","624","0","0","0","0","0","0","624","556","0","1","0","0","0","0","557","1181"
"18","641","0","0","0","0","0","0","641","588","1","0","0","0","0","0","589","1230"
"19","640","0","0","0","0","0","0","640","568","5","0","0","0","0","0","573","1213"
"20","633","1","0","0","0","0","0","634","553","10","0","0","1","0","0","564","1198"
"21","587","2","0","0","0","0","0","589","526","15","0","0","0","0","0","541","1130"
"22","638","3","0","0","0","0","0","641","556","17","0","0","0","0","0","573","1214"
"23","600","8","0","0","0","0","0","608","529","29","0","1","0","0","0","559","1167"
"24","558","16","0","0","0","0","0","574","509","50","1","0","0","0","0","560","1134"
"25","568","18","0","0","0","0","0","586","492","60","2","0","0","0","0","554","1140"
"Total","6679","48","0","0","0","0","0","6727","5983","187","4","1","1","0","0","6176","12903"
