"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","2618","0","0","0","0","0","0","2618","2628","0","0","0","0","0","0","2628","5246"
"16","2774","0","0","0","0","0","0","2774","2515","0","0","0","0","0","0","2515","5289"
"17","2834","0","0","0","0","0","0","2834","2630","1","1","0","0","0","0","2632","5466"
"18","2917","0","0","0","0","0","0","2917","2610","2","0","0","0","0","0","2612","5529"
"19","3073","0","0","0","0","0","0","3073","2671","4","0","0","0","0","0","2675","5748"
"20","3031","4","1","0","0","0","0","3036","2721","18","0","0","0","0","0","2739","5775"
"21","3100","5","0","0","0","0","0","3105","2630","39","1","0","0","0","0","2670","5775"
"22","3049","16","0","0","0","0","0","3065","2656","71","0","0","0","0","0","2727","5792"
"23","3069","32","0","0","0","0","0","3101","2661","102","0","1","0","0","0","2764","5865"
"24","3094","37","0","0","0","0","0","3131","2644","157","1","0","0","0","0","2802","5933"
"25","3048","78","0","0","0","0","0","3126","2713","219","4","1","0","0","0","2937","6063"
"Total","32607","172","1","0","0","0","0","32780","29079","613","7","2","0","0","0","29701","62481"
