"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","6476","0","0","0","0","0","0","6476","6172","0","0","0","0","0","0","6172","12648"
"16","6461","0","0","0","0","0","0","6461","5968","0","0","0","0","0","0","5968","12429"
"17","6615","1","0","0","0","0","0","6616","6159","3","0","0","0","0","0","6162","12778"
"18","6654","0","2","0","0","0","0","6656","6279","7","0","0","0","0","0","6286","12942"
"19","6913","1","0","0","0","0","0","6914","6296","29","0","0","0","0","0","6325","13239"
"20","6991","9","0","0","0","0","0","7000","6065","70","2","1","0","0","0","6138","13138"
"21","7120","15","0","0","0","0","0","7135","6118","133","0","0","1","1","0","6253","13388"
"22","6981","22","0","0","0","0","0","7003","6141","190","1","0","0","0","0","6332","13335"
"23","7249","61","3","0","2","0","0","7315","6063","262","5","1","0","0","0","6331","13646"
"24","6844","108","1","1","2","0","0","6956","5915","391","4","1","0","0","0","6311","13267"
"25","6753","150","0","0","4","0","0","6907","5868","558","12","2","3","0","0","6443","13350"
"Total","75057","367","6","1","8","0","0","75439","67044","1643","24","5","4","1","0","68721","144160"
