"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","49195","0","1","0","0","0","0","49196","46883","0","0","0","0","0","0","46883","96079"
"16","48738","0","0","0","0","0","0","48738","45351","0","1","0","0","0","0","45352","94090"
"17","48076","1","0","0","0","0","0","48077","44763","4","2","0","0","0","0","44769","92846"
"18","48965","0","0","0","0","0","0","48965","45425","48","0","0","0","0","0","45473","94438"
"19","50434","7","0","0","0","0","0","50441","45851","266","0","1","0","0","0","46118","96559"
"20","50209","69","5","0","2","0","0","50285","44976","518","7","1","2","1","0","45505","95790"
"21","51180","107","5","0","4","0","0","51296","44299","1004","7","0","2","0","0","45312","96608"
"22","50383","221","1","0","3","0","0","50608","44018","1505","16","1","6","2","0","45548","96156"
"23","49625","409","3","0","9","1","0","50047","43397","2224","17","3","5","0","0","45646","95693"
"24","48561","778","12","0","9","0","0","49360","42400","3190","34","0","5","0","0","45629","94989"
"25","48395","1240","20","1","16","0","0","49672","41936","4619","48","5","11","0","0","46619","96291"
"Total","543761","2832","47","1","43","1","0","546685","489299","13378","132","11","31","3","0","502854","1049539"
