"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","1371","0","0","0","0","0","0","1371","1195","0","0","0","0","0","0","1195","2566"
"16","1358","0","0","0","0","0","0","1358","1245","0","0","0","0","0","0","1245","2603"
"17","1351","0","0","0","0","0","0","1351","1321","0","0","0","0","0","0","1321","2672"
"18","1425","1","0","0","0","0","0","1426","1314","0","0","0","0","0","0","1314","2740"
"19","1484","0","0","0","0","0","0","1484","1377","6","0","0","0","0","0","1383","2867"
"20","1585","3","0","0","0","0","0","1588","1367","10","0","0","0","0","0","1377","2965"
"21","1718","4","0","0","0","0","0","1722","1388","31","1","0","0","0","0","1420","3142"
"22","1653","13","0","0","0","0","0","1666","1387","23","0","0","0","0","0","1410","3076"
"23","1590","11","0","0","0","0","0","1601","1431","45","0","0","0","0","0","1476","3077"
"24","1604","25","1","0","0","0","0","1630","1447","63","0","0","0","0","0","1510","3140"
"25","1688","46","1","0","0","0","0","1735","1397","108","0","0","0","0","0","1505","3240"
"Total","16827","103","2","0","0","0","0","16932","14869","286","1","0","0","0","0","15156","32088"
