"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","19752","1","0","0","0","0","0","19753","18358","1","1","0","0","0","0","18360","38113"
"16","19753","0","4","0","0","0","0","19757","18497","0","0","0","0","0","0","18497","38254"
"17","19257","0","2","0","0","0","0","19259","18454","0","4","0","0","0","0","18458","37717"
"18","19622","2","4","0","0","0","0","19628","18365","13","3","0","0","0","0","18381","38009"
"19","20624","10","3","0","0","0","0","20637","18892","110","0","0","0","0","0","19002","39639"
"20","20703","29","2","0","0","0","0","20734","18249","270","1","0","0","0","0","18520","39254"
"21","21277","49","4","0","1","0","0","21331","18348","410","4","0","0","0","0","18762","40093"
"22","20794","104","4","0","0","0","0","20902","18312","685","13","0","2","0","0","19012","39914"
"23","20580","215","5","1","9","0","0","20810","17664","959","9","2","5","0","0","18639","39449"
"24","20246","367","9","0","5","0","0","20627","17423","1329","23","2","3","1","0","18781","39408"
"25","20117","524","12","1","8","0","0","20662","17156","1961","37","7","4","0","0","19165","39827"
"Total","222725","1301","49","2","23","0","0","224100","199718","5738","95","11","14","1","0","205577","429677"
