"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","24434","0","0","0","0","0","0","24434","22903","0","0","0","0","0","0","22903","47337"
"16","23877","1","0","0","0","0","0","23878","22581","0","0","0","0","0","0","22581","46459"
"17","23819","0","0","0","0","0","0","23819","22126","4","0","0","0","0","0","22130","45949"
"18","23858","3","0","0","0","0","0","23861","22030","27","0","0","0","0","0","22057","45918"
"19","24829","7","2","0","1","0","0","24839","22936","149","0","0","0","0","0","23085","47924"
"20","24391","19","0","0","0","0","0","24410","22529","321","4","0","0","0","0","22854","47264"
"21","25050","66","1","1","1","0","0","25119","22355","527","5","2","0","0","0","22889","48008"
"22","24946","114","2","2","1","0","0","25065","22086","855","8","0","1","1","0","22951","48016"
"23","24599","270","3","1","3","0","0","24876","21515","1162","11","0","4","0","0","22692","47568"
"24","24203","453","5","1","9","0","0","24671","20494","1716","16","6","2","1","0","22235","46906"
"25","23626","714","18","2","4","0","0","24364","20348","2338","25","6","3","0","0","22720","47084"
"Total","267632","1647","31","7","19","0","0","269336","241903","7099","69","14","10","2","0","249097","518433"
