"Region code","Region","Age","Sex","Population"
"01","Piemonte","0","Total","30680"
"01","Piemonte","0","Males","15597"
"01","Piemonte","0","Females","15083"
"01","Piemonte","1","Total","31895"
"01","Piemonte","1","Males","16306"
"01","Piemonte","1","Females","15589"
"01","Piemonte","2","Total","32793"
"01","Piemonte","2","Males","17115"
"01","Piemonte","2","Females","15678"
"01","Piemonte","3","Total","34333"
"01","Piemonte","3","Males","17539"
"01","Piemonte","3","Females","16794"
"01","Piemonte","4","Total","35154"
"01","Piemonte","4","Males","18066"
"01","Piemonte","4","Females","17088"
"01","Piemonte","5","Total","36574"
"01","Piemonte","5","Males","18799"
"01","Piemonte","5","Females","17775"
"01","Piemonte","6","Total","36821"
"01","Piemonte","6","Males","19188"
"01","Piemonte","6","Females","17633"
"01","Piemonte","7","Total","37682"
"01","Piemonte","7","Males","19433"
"01","Piemonte","7","Females","18249"
"01","Piemonte","8","Total","38798"
"01","Piemonte","8","Males","19946"
"01","Piemonte","8","Females","18852"
"01","Piemonte","9","Total","39068"
"01","Piemonte","9","Males","20184"
"01","Piemonte","9","Females","18884"
"01","Piemonte","10","Total","38957"
"01","Piemonte","10","Males","20053"
"01","Piemonte","10","Females","18904"
"01","Piemonte","11","Total","38409"
"01","Piemonte","11","Males","19773"
"01","Piemonte","11","Females","18636"
"01","Piemonte","12","Total","38139"
"01","Piemonte","12","Males","19662"
"01","Piemonte","12","Females","18477"
"01","Piemonte","13","Total","38069"
"01","Piemonte","13","Males","19728"
"01","Piemonte","13","Females","18341"
"01","Piemonte","14","Total","38192"
"01","Piemonte","14","Males","19719"
"01","Piemonte","14","Females","18473"
"01","Piemonte","15","Total","37597"
"01","Piemonte","15","Males","19171"
"01","Piemonte","15","Females","18426"
"01","Piemonte","16","Total","37662"
"01","Piemonte","16","Males","19387"
"01","Piemonte","16","Females","18275"
"01","Piemonte","17","Total","39004"
"01","Piemonte","17","Males","20218"
"01","Piemonte","17","Females","18786"
"01","Piemonte","18","Total","38476"
"01","Piemonte","18","Males","20252"
"01","Piemonte","18","Females","18224"
"01","Piemonte","19","Total","39537"
"01","Piemonte","19","Males","21038"
"01","Piemonte","19","Females","18499"
"01","Piemonte","20","Total","39132"
"01","Piemonte","20","Males","20533"
"01","Piemonte","20","Females","18599"
"01","Piemonte","21","Total","38802"
"01","Piemonte","21","Males","20561"
"01","Piemonte","21","Females","18241"
"01","Piemonte","22","Total","38659"
"01","Piemonte","22","Males","20301"
"01","Piemonte","22","Females","18358"
"01","Piemonte","23","Total","39042"
"01","Piemonte","23","Males","20262"
"01","Piemonte","23","Females","18780"
"01","Piemonte","24","Total","39599"
"01","Piemonte","24","Males","20495"
"01","Piemonte","24","Females","19104"
"01","Piemonte","25","Total","40899"
"01","Piemonte","25","Males","21168"
"01","Piemonte","25","Females","19731"
"01","Piemonte","26","Total","41399"
"01","Piemonte","26","Males","21323"
"01","Piemonte","26","Females","20076"
"01","Piemonte","27","Total","42648"
"01","Piemonte","27","Males","22068"
