"Age","Total males","Total females","Total"
"0","3997","3772","7769"
"1","4165","4012","8177"
"2","4404","4172","8576"
"3","4418","4259","8677"
"4","4786","4427","9213"
"5","4851","4564","9415"
"6","5010","4806","9816"
"7","5227","4759","9986"
"8","5341","5077","10418"
"9","5375","5159","10534"
"10","5441","5062","10503"
"11","5448","5266","10714"
"12","5424","5246","10670"
"13","5435","5031","10466"
"14","5340","5199","10539"
"15","5465","5022","10487"
"16","5329","5013","10342"
"17","5474","5002","10476"
"18","5588","5233","10821"
"19","5508","4991","10499"
"20","5584","5025","10609"
"21","5518","4928","10446"
"22","5727","5050","10777"
"23","5522","4956","10478"
"24","5530","4990","10520"
"25","5616","5057","10673"
"26","5919","5445","11364"
"27","5865","5600","11465"
"28","5978","5618","11596"
"29","6005","5677","11682"
"30","6096","5868","11964"
"31","5762","5696","11458"
"32","6049","5805","11854"
"33","6253","6122","12375"
"34","6480","6118","12598"
"35","6492","6110","12602"
"36","6851","6531","13382"
"37","6966","6562","13528"
"38","7156","6803","13959"
"39","7429","6977","14406"
"40","8051","7606","15657"
"41","8090","7803","15893"
"42","8436","8429","16865"
"43","9024","8839","17863"
"44","9746","9563","19309"
"45","9525","9598","19123"
"46","9889","9834","19723"
"47","9891","9907","19798"
"48","9872","10089","19961"
"49","10139","9980","20119"
"50","10103","9896","19999"
"51","10044","10211","20255"
"52","10085","10223","20308"
"53","10264","10259","20523"
"54","10454","10450","20904"
"55","9752","10051","19803"
"56","9287","9414","18701"
"57","9122","9101","18223"
"58","8840","8799","17639"
"59","8594","8821","17415"
"60","7955","8453","16408"
"61","7715","8320","16035"
"62","7754","8101","15855"
"63","7525","7932","15457"
"64","7301","7923","15224"
"65","7205","7911","15116"
"66","6992","7932","14924"
"67","6930","7794","14724"
"68","7394","8262","15656"
"69","7296","8097","15393"
"70","7775","8575","16350"
"71","7546","8709","16255"
"72","8021","8992","17013"
"73","5429","6106","11535"
"74","6283","7397","13680"
"75","6157","7184","13341"
"76","5953","7336","13289"
"77","5980","7323","13303"
"78","6169","7651","13820"
"79","5636","7257","12893"
"80","5187","6881","12068"
"81","4614","6186","10800"
"82","3882","5729","9611"
"83","3629","5454","9083"
"84","3006","5003","8009"
"85","2723","4598","7321"
"86","2384","4364","6748"
"87","2066","3967","6033"
"88","1892","3965","5857"
"89","1444","3309","4753"
"90","1216","2908","4124"
"91","952","2575","3527"
"92","729","2287","3016"
"93","568","1884","2452"
"94","446","1537","1983"
"95","325","1182","1507"
"96","218","928","1146"
"97","154","777","931"
"98","99","524","623"
"99","44","229","273"
"100 and over","37","326","363"
"Total","588663","621751","1210414"
