"Age","Total males","Total females","Total"
"0","2945","2745","5690"
"1","3075","2917","5992"
"2","3257","3095","6352"
"3","3297","3144","6441"
"4","3489","3350","6839"
"5","3687","3435","7122"
"6","3753","3719","7472"
"7","3844","3704","7548"
"8","3986","3736","7722"
"9","4010","3713","7723"
"10","4132","4006","8138"
"11","4192","3912","8104"
"12","4123","3831","7954"
"13","4111","3821","7932"
"14","3941","3790","7731"
"15","3997","3625","7622"
"16","3889","3755","7644"
"17","3900","3644","7544"
"18","3964","3803","7767"
"19","4188","3582","7770"
"20","4237","3643","7880"
"21","4144","3684","7828"
"22","4146","3731","7877"
"23","4126","3774","7900"
"24","4092","3815","7907"
"25","4216","3921","8137"
"26","4459","4133","8592"
"27","4363","4073","8436"
"28","4475","4229","8704"
"29","4551","4359","8910"
"30","4682","4635","9317"
"31","4558","4474","9032"
"32","4574","4647","9221"
"33","4664","4824","9488"
"34","4718","4877","9595"
"35","5146","5169","10315"
"36","5140","5071","10211"
"37","5230","5268","10498"
"38","5298","5289","10587"
"39","5494","5522","11016"
"40","5644","5920","11564"
"41","5982","6078","12060"
"42","6200","6253","12453"
"43","6372","6699","13071"
"44","6649","7006","13655"
"45","6681","6888","13569"
"46","6524","6916","13440"
"47","6667","6983","13650"
"48","6669","6782","13451"
"49","6729","7103","13832"
"50","6677","7168","13845"
"51","6577","7111","13688"
"52","6694","7016","13710"
"53","6927","7261","14188"
"54","6948","7291","14239"
"55","6360","6991","13351"
"56","6245","6744","12989"
"57","6294","6625","12919"
"58","6129","6630","12759"
"59","5867","6369","12236"
"60","5549","6000","11549"
"61","5410","5907","11317"
"62","5508","5981","11489"
"63","5372","5851","11223"
"64","5164","5771","10935"
"65","5150","5603","10753"
"66","4798","5342","10140"
"67","5045","5568","10613"
"68","5138","5599","10737"
"69","5301","5804","11105"
"70","5645","6170","11815"
"71","5202","5704","10906"
"72","4875","5550","10425"
"73","3863","4468","8331"
"74","3988","4796","8784"
"75","4248","4885","9133"
"76","3867","4503","8370"
"77","3832","4562","8394"
"78","4196","5034","9230"
"79","3894","5036","8930"
"80","3920","4994","8914"
"81","3235","4542","7777"
"82","2853","4097","6950"
"83","2831","4046","6877"
"84","2596","3883","6479"
"85","2348","3600","5948"
"86","2000","3151","5151"
"87","1844","3201","5045"
"88","1595","3049","4644"
"89","1179","2488","3667"
"90","1004","2198","3202"
"91","821","2005","2826"
"92","667","1604","2271"
"93","530","1373","1903"
"94","388","1079","1467"
"95","246","808","1054"
"96","166","591","757"
"97","125","453","578"
"98","72","310","382"
"99","27","158","185"
"100 and over","31","230","261"
"Total","421451","452293","873744"
