"Age","Total males","Total females","Total"
"0","24927","23557","48484"
"1","26056","24440","50496"
"2","26157","24897","51054"
"3","27304","25652","52956"
"4","27903","26384","54287"
"5","27741","26396","54137"
"6","29136","27767","56903"
"7","29467","28148","57615"
"8","30476","29060","59536"
"9","31265","29366","60631"
"10","31554","29897","61451"
"11","31290","29786","61076"
"12","32330","29842","62172"
"13","32650","30580","63230"
"14","32971","30956","63927"
"15","33102","31294","64396"
"16","33062","31299","64361"
"17","34308","31792","66100"
"18","36389","32178","68567"
"19","37046","32797","69843"
"20","36113","32359","68472"
"21","36015","32644","68659"
"22","36160","33155","69315"
"23","36481","33732","70213"
"24","37233","34607","71840"
"25","37993","36175","74168"
"26","39520","37595","77115"
"27","39153","37117","76270"
"28","39550","37837","77387"
"29","39306","37781","77087"
"30","39491","37905","77396"
"31","38577","37222","75799"
"32","38508","37221","75729"
"33","38835","37961","76796"
"34","39515","38699","78214"
"35","39208","38711","77919"
"36","40696","40043","80739"
"37","40356","40372","80728"
"38","42134","41579","83713"
"39","42162","42450","84612"
"40","44303","44068","88371"
"41","44803","44891","89694"
"42","46876","47119","93995"
"43","48261","48663","96924"
"44","50029","50472","100501"
"45","49187","49984","99171"
"46","49056","50128","99184"
"47","49151","51485","100636"
"48","48721","50858","99579"
"49","50477","52328","102805"
"50","49318","51797","101115"
"51","50231","52425","102656"
"52","49826","52505","102331"
"53","49462","52240","101702"
"54","50824","53361","104185"
"55","47845","50985","98830"
"56","47159","50667","97826"
"57","45904","49641","95545"
"58","45579","49259","94838"
"59","43741","46929","90670"
"60","42246","45782","88028"
"61","41997","45891","87888"
"62","40912","44790","85702"
"63","40752","43871","84623"
"64","40167","44129","84296"
"65","37430","40781","78211"
"66","36712","40411","77123"
"67","36311","39727","76038"
"68","36935","40689","77624"
"69","36501","40510","77011"
"70","37245","41652","78897"
"71","36096","40624","76720"
"72","32847","37326","70173"
"73","28198","32383","60581"
"74","26607","31350","57957"
"75","24793","30082","54875"
"76","24289","29956","54245"
"77","23158","29316","52474"
"78","25408","32857","58265"
"79","23783","30767","54550"
"80","21343","28813","50156"
"81","18577","25711","44288"
"82","17370","24521","41891"
"83","15761","23486","39247"
"84","15095","22701","37796"
"85","13648","21051","34699"
"86","11171","18663","29834"
"87","9862","16945","26807"
"88","9033","16519","25552"
"89","6708","13166","19874"
"90","5545","11366","16911"
"91","4260","9039","13299"
"92","3375","7785","11160"
"93","2431","5995","8426"
"94","1830","4996","6826"
"95","1321","3450","4771"
"96","939","2709","3648"
"97","597","1796","2393"
"98","385","1353","1738"
"99","198","672","870"
"100 and over","276","1111","1387"
"Total","3185005","3345800","6530805"
