"Age","Total males","Total females","Total"
"0","4421","4211","8632"
"1","4628","4343","8971"
"2","5002","4672","9674"
"3","5163","4763","9926"
"4","5224","4978","10202"
"5","5640","5218","10858"
"6","5691","5265","10956"
"7","5936","5654","11590"
"8","5847","5562","11409"
"9","6065","5865","11930"
"10","6259","6213","12472"
"11","6469","6269","12738"
"12","6546","5918","12464"
"13","6453","6186","12639"
"14","6525","6046","12571"
"15","6476","6172","12648"
"16","6461","5968","12429"
"17","6616","6162","12778"
"18","6656","6286","12942"
"19","6914","6325","13239"
"20","7000","6138","13138"
"21","7135","6253","13388"
"22","7003","6332","13335"
"23","7315","6331","13646"
"24","6956","6311","13267"
"25","6907","6443","13350"
"26","7031","6548","13579"
"27","7482","6845","14327"
"28","7183","6910","14093"
"29","7240","6960","14200"
"30","7202","6996","14198"
"31","7383","7157","14540"
"32","7340","6858","14198"
"33","7210","6890","14100"
"34","7499","7242","14741"
"35","7424","7196","14620"
"36","7653","7358","15011"
"37","7658","7336","14994"
"38","7866","7801","15667"
"39","7778","7755","15533"
"40","7977","8293","16270"
"41","8546","9040","17586"
"42","9131","9476","18607"
"43","9834","9954","19788"
"44","10483","10694","21177"
"45","11044","11532","22576"
"46","11419","11571","22990"
"47","12031","12191","24222"
"48","12152","12338","24490"
"49","12059","12605","24664"
"50","12409","12837","25246"
"51","12589","12896","25485"
"52","12273","13078","25351"
"53","12907","13433","26340"
"54","13136","13697","26833"
"55","13346","13701","27047"
"56","12352","13074","25426"
"57","11828","12631","24459"
"58","11465","12203","23668"
"59","11066","11764","22830"
"60","10916","11703","22619"
"61","10379","11235","21614"
"62","10357","10998","21355"
"63","10000","10763","20763"
"64","9564","10519","20083"
"65","9564","10415","19979"
"66","9146","10156","19302"
"67","8858","9806","18664"
"68","8680","9937","18617"
"69","9362","10417","19779"
"70","9203","10760","19963"
"71","9770","11254","21024"
"72","9871","11634","21505"
"73","9712","11765","21477"
"74","6997","8461","15458"
"75","7779","9526","17305"
"76","7473","9235","16708"
"77","7358","9609","16967"
"78","7468","9814","17282"
"79","7868","10477","18345"
"80","7476","10203","17679"
"81","7024","9879","16903"
"82","6199","9045","15244"
"83","5391","8201","13592"
"84","5022","7859","12881"
"85","4437","7193","11630"
"86","3997","6757","10754"
"87","3482","6453","9935"
"88","3015","5885","8900"
"89","2679","5613","8292"
"90","2105","4696","6801"
"91","1686","3890","5576"
"92","1313","3258","4571"
"93","909","2677","3586"
"94","692","2116","2808"
"95","471","1629","2100"
"96","325","1239","1564"
"97","221","953","1174"
"98","145","654","799"
"99","82","465","547"
"100 and over","71","562","633"
"Total","730371","794455","1524826"
