"Age","Total males","Total females","Total"
"0","4264","4108","8372"
"1","4494","4316","8810"
"2","4874","4562","9436"
"3","5138","4833","9971"
"4","5211","4874","10085"
"5","5296","5004","10300"
"6","5381","5072","10453"
"7","5623","5343","10966"
"8","5802","5313","11115"
"9","5882","5597","11479"
"10","5821","5465","11286"
"11","6015","5676","11691"
"12","5863","5624","11487"
"13","5870","5494","11364"
"14","5854","5634","11488"
"15","6035","5559","11594"
"16","5970","5543","11513"
"17","5930","5456","11386"
"18","6090","5703","11793"
"19","6412","5647","12059"
"20","6309","5716","12025"
"21","6476","5943","12419"
"22","6542","5819","12361"
"23","6481","6119","12600"
"24","6548","5931","12479"
"25","6683","6309","12992"
"26","6955","6419","13374"
"27","7181","6747","13928"
"28","7106","6736","13842"
"29","7191","6872","14063"
"30","7329","6807","14136"
"31","7341","7068","14409"
"32","7138","7018","14156"
"33","7386","7161","14547"
"34","7551","7396","14947"
"35","7760","7472","15232"
"36","7739","7490","15229"
"37","7955","7976","15931"
"38","7966","7869","15835"
"39","8307","7984","16291"
"40","8565","8365","16930"
"41","8940","8654","17594"
"42","8999","8739","17738"
"43","9308","9185","18493"
"44","9363","9642","19005"
"45","9987","9832","19819"
"46","9647","9928","19575"
"47","9982","10212","20194"
"48","10044","10514","20558"
"49","9910","10244","20154"
"50","10418","10636","21054"
"51","10332","10540","20872"
"52","10322","10738","21060"
"53","10447","10798","21245"
"54","10452","10820","21272"
"55","10636","10742","21378"
"56","9842","10290","20132"
"57","9470","9923","19393"
"58","9113","9926","19039"
"59","9016","9696","18712"
"60","8844","9577","18421"
"61","8552","9181","17733"
"62","8422","9050","17472"
"63","8422","8756","17178"
"64","8228","8960","17188"
"65","8038","8758","16796"
"66","7535","8193","15728"
"67","7479","8120","15599"
"68","7350","8246","15596"
"69","7675","8319","15994"
"70","7731","8502","16233"
"71","7694","8655","16349"
"72","7341","8062","15403"
"73","7077","7764","14841"
"74","5110","5956","11066"
"75","5539","6253","11792"
"76","5149","6137","11286"
"77","4934","5893","10827"
"78","4887","5849","10736"
"79","5348","6691","12039"
"80","5207","6695","11902"
"81","4610","5988","10598"
"82","4385","5825","10210"
"83","3841","5392","9233"
"84","3612","5273","8885"
"85","3151","4900","8051"
"86","2902","4774","7676"
"87","2414","4021","6435"
"88","2118","3813","5931"
"89","1941","3626","5567"
"90","1435","2904","4339"
"91","1114","2464","3578"
"92","932","2157","3089"
"93","649","1677","2326"
"94","491","1298","1789"
"95","352","1044","1396"
"96","230","772","1002"
"97","166","579","745"
"98","140","386","526"
"99","73","259","332"
"100 and over","63","330","393"
"Total","631743","662198","1293941"
