"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","6413","0","0","0","0","0","0","6413","5948","0","0","0","0","0","0","5948","12361"
"16","6539","1","0","0","0","0","0","6540","6114","2","0","0","0","0","0","6116","12656"
"17","6530","0","2","0","0","0","0","6532","6242","0","0","0","0","0","0","6242","12774"
"18","6844","1","0","0","0","0","0","6845","6237","2","0","0","0","0","0","6239","13084"
"19","6964","6","0","0","0","0","0","6970","6033","30","0","0","0","0","0","6063","13033"
"20","7113","6","0","0","0","0","0","7119","6094","87","1","0","2","0","0","6184","13303"
"21","6992","15","0","0","0","0","0","7007","6120","139","0","0","0","0","0","6259","13266"
"22","7230","45","2","0","1","0","0","7278","6054","182","3","0","0","0","0","6239","13517"
"23","6850","70","0","0","1","0","0","6921","5948","320","1","0","0","0","0","6269","13190"
"24","6765","108","0","0","4","0","0","6877","5910","454","8","0","0","0","0","6372","13249"
"25","6834","196","3","0","3","0","0","7036","5881","651","9","0","2","0","0","6543","13579"
"Total","75074","448","7","0","9","0","0","75538","66581","1867","22","0","4","0","0","68474","144012"
