"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","20384","0","0","0","0","0","0","20384","18952","0","0","0","0","0","0","18952","39336"
"16","20469","1","0","0","0","0","0","20470","19043","0","0","0","0","0","0","19043","39513"
"17","20404","6","0","0","0","0","0","20410","19003","5","0","0","0","0","0","19008","39418"
"18","21127","3","1","0","0","0","0","21131","19029","36","1","0","0","0","0","19066","40197"
"19","20708","27","0","8","0","0","0","20743","18635","148","0","0","2","0","0","18785","39528"
"20","21504","57","0","3","0","0","0","21564","17995","366","2","0","0","0","0","18363","39927"
"21","21025","86","2","3","3","0","0","21119","18171","631","2","1","0","0","0","18805","39924"
"22","20623","168","0","1","1","0","0","20793","17914","964","8","1","2","0","0","18889","39682"
"23","20384","353","3","0","5","0","0","20745","17277","1373","14","2","3","0","0","18669","39414"
"24","20416","465","7","1","2","0","0","20891","17321","1866","20","2","2","2","0","19213","40104"
"25","20316","794","8","1","3","0","0","21122","17043","2442","41","4","4","0","0","19534","40656"
"Total","227360","1960","21","17","14","0","0","229372","200383","7831","88","10","13","2","0","208327","437699"
