"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","5819","0","0","0","0","0","0","5819","5375","0","0","0","0","0","0","5375","11194"
"16","5723","0","0","0","0","0","0","5723","5353","0","0","0","0","0","0","5353","11076"
"17","5959","0","0","0","0","0","0","5959","5422","3","0","0","0","0","0","5425","11384"
"18","6002","1","0","0","0","0","0","6003","5664","6","0","0","0","0","0","5670","11673"
"19","6067","2","0","0","0","0","0","6069","5608","51","0","0","0","0","0","5659","11728"
"20","6096","12","0","0","0","0","0","6108","5646","97","0","0","0","0","0","5743","11851"
"21","6179","23","0","0","0","0","0","6202","5492","123","0","0","0","0","0","5615","11817"
"22","6045","52","0","0","1","0","0","6098","5451","229","2","1","0","0","0","5683","11781"
"23","5952","80","1","0","0","0","0","6033","5153","330","4","0","0","0","0","5487","11520"
"24","5878","141","3","0","1","0","0","6023","5215","477","1","0","0","0","0","5693","11716"
"25","5675","232","1","0","1","0","0","5909","4975","704","7","0","0","0","0","5686","11595"
"Total","65395","543","5","0","3","0","0","65946","59354","2020","14","1","0","0","0","61389","127335"
