"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","27681","0","0","0","0","0","0","27681","25998","2","0","0","0","0","0","26000","53681"
"16","27280","0","0","0","0","0","0","27280","25891","0","0","0","0","0","0","25891","53171"
"17","27006","1","0","0","0","0","0","27007","25262","1","0","1","0","0","0","25264","52271"
"18","27296","1","1","0","0","0","0","27298","25422","13","0","0","0","0","0","25435","52733"
"19","28040","8","0","0","0","0","0","28048","25678","62","1","0","0","0","0","25741","53789"
"20","27885","21","0","0","0","0","0","27906","25199","141","1","0","0","0","0","25341","53247"
"21","28628","53","0","0","1","0","0","28682","25361","277","3","0","0","0","0","25641","54323"
"22","28395","99","0","0","3","0","0","28497","25156","544","6","0","2","0","0","25708","54205"
"23","28610","183","3","1","1","0","0","28798","25100","855","4","1","4","0","0","25964","54762"
"24","28805","351","5","1","7","0","0","29169","24959","1190","16","1","5","3","0","26174","55343"
"25","28511","528","4","0","7","0","1","29051","24892","1854","21","3","6","0","0","26776","55827"
"Total","308137","1245","13","2","19","0","1","309417","278918","4939","52","6","17","3","0","283935","593352"
