"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","9660","0","0","0","0","0","0","9660","9005","0","0","0","0","0","0","9005","18665"
"16","9665","1","0","0","0","0","0","9666","9034","0","0","0","0","0","0","9034","18700"
"17","9660","2","0","0","0","0","0","9662","8906","4","0","1","0","0","0","8911","18573"
"18","9989","1","0","0","0","0","0","9990","9399","14","0","0","0","0","0","9413","19403"
"19","10462","3","0","0","0","0","0","10465","9555","47","0","0","0","0","0","9602","20067"
"20","10532","13","0","4","0","0","0","10549","9395","106","1","0","0","0","0","9502","20051"
"21","10636","40","0","1","0","0","0","10677","9536","228","1","1","0","0","0","9766","20443"
"22","10354","59","1","0","0","0","0","10414","9259","357","4","1","0","0","0","9621","20035"
"23","10627","122","3","1","0","0","0","10753","9165","611","3","0","1","0","0","9780","20533"
"24","10509","209","2","1","1","0","0","10722","9292","862","7","1","0","0","0","10162","20884"
"25","10664","381","2","2","1","0","0","11050","9031","1235","9","3","0","0","0","10278","21328"
"Total","112758","831","8","9","2","0","0","113608","101577","3464","25","7","1","0","0","105074","218682"
