"Age","Never married males","Married males","Divorced males","Widowed males","Same sex civil partner males","Divorced same-sex civil partner males","Widow of same-sex civil partner males","Total males","Never married females","Married females","Divorced females","Widowed females","Same sex civil partner females","Divorced same-sex civil partner females","Widow of same-sex civil partner females","Total females","Total"
"15","26091","1","0","0","0","0","0","26092","24533","1","0","0","0","0","0","24534","50626"
"16","25984","0","1","0","0","0","0","25985","24629","1","1","0","0","0","0","24631","50616"
"17","26176","0","0","0","0","0","0","26176","24713","6","0","0","0","0","0","24719","50895"
"18","27298","6","1","0","0","0","0","27305","25019","50","0","0","1","0","0","25070","52375"
"19","28631","26","2","0","0","0","0","28659","25136","204","0","0","0","0","0","25340","53999"
"20","28609","69","0","0","0","0","0","28678","25595","389","1","0","0","0","0","25985","54663"
"21","27971","103","1","0","0","0","0","28075","24900","739","3","1","0","0","0","25643","53718"
"22","27751","269","0","0","2","0","0","28022","24598","1149","5","0","0","0","0","25752","53774"
"23","27397","470","4","0","0","0","0","27871","24450","1722","7","0","1","0","0","26180","54051"
"24","27183","803","2","0","1","0","0","27989","23903","2533","13","2","2","0","0","26453","54442"
"25","27312","1236","4","0","3","0","0","28555","23268","3636","26","5","3","0","0","26938","55493"
"Total","300403","2983","15","0","6","0","0","303407","270744","10430","56","8","7","0","0","281245","584652"
