"ITTER107","Territory","TIPO_DATO_AVQ","Data type","MISURA_AVQ","Measure","TIME","Select time","Value","Flag Codes","Flags"
"ITD3","Veneto","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",1302,,
"ITD3","Veneto","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",1155,,
"ITD3","Veneto","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",1129,,
"ITC1","Piemonte","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",26.6,,
"ITC1","Piemonte","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",28.5,,
"ITC1","Piemonte","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",30.7,,
"ITC4","Lombardia","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",2539,,
"ITC4","Lombardia","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",2371,,
"ITC4","Lombardia","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",2594,,
"ITC1","Piemonte","6_NEVER_RELIG","never","THV","thousands value","2017","2017",1105,,
"ITC1","Piemonte","6_NEVER_RELIG","never","THV","thousands value","2018","2018",1179,,
"ITC1","Piemonte","6_NEVER_RELIG","never","THV","thousands value","2019","2019",1267,,
"IT","Italy","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",24.1,,
"IT","Italy","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",25.6,,
"IT","Italy","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",27,,
"ITC3","Liguria","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",16.9,,
"ITC3","Liguria","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",19,,
"ITC3","Liguria","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",16.3,,
"IT","Italy","6_NEVER_RELIG","never","THV","thousands value","2017","2017",13816,,
"IT","Italy","6_NEVER_RELIG","never","THV","thousands value","2018","2018",14670,,
"IT","Italy","6_NEVER_RELIG","never","THV","thousands value","2019","2019",15430,,
"ITE4","Lazio","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",1383,,
"ITE4","Lazio","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",1330,,
"ITE4","Lazio","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",1152,,
"ITD4","Friuli-Venezia Giulia","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",30.7,,
"ITD4","Friuli-Venezia Giulia","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",29.4,,
"ITD4","Friuli-Venezia Giulia","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",34.1,,
"ITD3","Veneto","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",28.2,,
"ITD3","Veneto","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",25,,
"ITD3","Veneto","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",24.4,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2017","2017",30.8,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2018","2018",34.3,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","6_NEVER_RELIG","never","HSC","per 100 people with the same characteristics","2019","2019",26.9,,
"ITD4","Friuli-Venezia Giulia","6_NEVER_RELIG","never","THV","thousands value","2017","2017",353,,
"ITD4","Friuli-Venezia Giulia","6_NEVER_RELIG","never","THV","thousands value","2018","2018",339,,
"ITD4","Friuli-Venezia Giulia","6_NEVER_RELIG","never","THV","thousands value","2019","2019",393,,
"ITC4","Lombardia","6_NEVER_RELIG","never","THV","thousands value","2017","2017",2586,,
"ITC4","Lombardia","6_NEVER_RELIG","never","THV","thousands value","2018","2018",2795,,
"ITC4","Lombardia","6_NEVER_RELIG","never","THV","thousands value","2019","2019",2810,,
"ITDA","Trentino Alto Adige / Südtirol","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",267,,
"ITDA","Trentino Alto Adige / Südtirol","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",238,,
"ITDA","Trentino Alto Adige / Südtirol","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",220,,
"ITC1","Piemonte","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",1007,,
"ITC1","Piemonte","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",797,,
"ITC1","Piemonte","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",870,,
"IT","Italy","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",26.6,,
"IT","Italy","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",24.9,,
"IT","Italy","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",25.1,,
"ITD3","Veneto","6_NEVER_RELIG","never","THV","thousands value","2017","2017",964,,
"ITD3","Veneto","6_NEVER_RELIG","never","THV","thousands value","2018","2018",980,,
"ITD3","Veneto","6_NEVER_RELIG","never","THV","thousands value","2019","2019",1182,,
"ITC3","Liguria","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",252,,
"ITC3","Liguria","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",282,,
"ITC3","Liguria","6_WEEK_RELIG","at least once a week","THV","thousands value","2019","2019",241,,
"ITC1","Piemonte","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",24.3,,
"ITC1","Piemonte","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",19.2,,
"ITC1","Piemonte","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",21.1,,
"ITD4","Friuli-Venezia Giulia","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",21.1,,
"ITD4","Friuli-Venezia Giulia","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",20.5,,
"ITD4","Friuli-Venezia Giulia","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",19,,
"ITD5","Emilia-Romagna","6_NEVER_RELIG","never","THV","thousands value","2017","2017",1520,,
"ITD5","Emilia-Romagna","6_NEVER_RELIG","never","THV","thousands value","2018","2018",1469,,
"ITD5","Emilia-Romagna","6_NEVER_RELIG","never","THV","thousands value","2019","2019",1668,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","6_NEVER_RELIG","never","THV","thousands value","2017","2017",37,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","6_NEVER_RELIG","never","THV","thousands value","2018","2018",41,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","6_NEVER_RELIG","never","THV","thousands value","2019","2019",32,,
"ITD5","Emilia-Romagna","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2017","2017",19.9,,
"ITD5","Emilia-Romagna","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2018","2018",19.9,,
"ITD5","Emilia-Romagna","6_WEEK_RELIG","at least once a week","HSC","per 100 people with the same characteristics","2019","2019",18.9,,
"ITD4","Friuli-Venezia Giulia","6_WEEK_RELIG","at least once a week","THV","thousands value","2017","2017",243,,
"ITD4","Friuli-Venezia Giulia","6_WEEK_RELIG","at least once a week","THV","thousands value","2018","2018",237,,
