"ITTER107","Territorio","TIPO_DATO14","Tipo dato","ETA1","Classe di età","TERANT","Terapia antalgica","COMPL","Complicazione","LUOGOEVENTO","Luogo di aborto","DURATA","Settimane di amenorrea","SI_NO","Utilizzo di tecniche di procreazione medicalmente assistita","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITC1","Piemonte","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",32,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",1,,
"ITC3","Liguria","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",1,,
"ITC4","Lombardia","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",43,,
"ITDA","Trentino Alto Adige / Südtirol","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",9,,
"ITD3","Veneto","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",33,,
"ITD4","Friuli-Venezia Giulia","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",15,,
"ITD5","Emilia-Romagna","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",29,,
"ITE1","Toscana","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",28,,
"ITE2","Umbria","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",6,,
"ITE3","Marche","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",14,,
"ITE4","Lazio","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",70,,
"ITF1","Abruzzo","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",12,,
"ITF2","Molise","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",1,,
"ITF3","Campania","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",1,,
"ITF4","Puglia","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",100,,
"ITF5","Basilicata","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",5,,
"ITF6","Calabria","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",15,,
"ITG1","Sicilia","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",123,,
"ITG2","Sardegna","55","dimissioni per aborto spontaneo","Y15-19","15-19 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",14,,
"ITC1","Piemonte","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",148,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",8,,
"ITC3","Liguria","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",6,,
"ITC4","Lombardia","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",183,,
"ITDA","Trentino Alto Adige / Südtirol","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",52,,
"ITD3","Veneto","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",235,,
"ITD4","Friuli-Venezia Giulia","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",65,,
"ITD5","Emilia-Romagna","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",215,,
"ITE1","Toscana","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",155,,
"ITE2","Umbria","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",35,,
"ITE3","Marche","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",70,,
"ITE4","Lazio","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",297,,
"ITF1","Abruzzo","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",66,,
"ITF2","Molise","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",10,,
"ITF3","Campania","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",6,,
"ITF4","Puglia","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",284,,
"ITF5","Basilicata","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",25,,
"ITF6","Calabria","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",119,,
"ITG1","Sicilia","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",393,,
"ITG2","Sardegna","55","dimissioni per aborto spontaneo","Y20-24","20-24 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",81,,
"ITC1","Piemonte","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",328,,
"ITC2","Valle d'Aosta / Vallée d'Aoste","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",6,,
"ITC3","Liguria","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",24,,
"ITC4","Lombardia","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",541,,
"ITDA","Trentino Alto Adige / Südtirol","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",142,,
"ITD3","Veneto","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",578,,
"ITD4","Friuli-Venezia Giulia","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",158,,
"ITD5","Emilia-Romagna","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",465,,
"ITE1","Toscana","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",417,,
"ITE2","Umbria","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",49,,
"ITE3","Marche","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",176,,
"ITE4","Lazio","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",801,,
"ITF1","Abruzzo","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",153,,
"ITF2","Molise","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",35,,
"ITF3","Campania","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",31,,
"ITF4","Puglia","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",648,,
"ITF5","Basilicata","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",79,,
"ITF6","Calabria","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",317,,
"ITG1","Sicilia","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",905,,
"ITG2","Sardegna","55","dimissioni per aborto spontaneo","Y25-29","25-29 anni","TOT","totale","TOT","totale","TOT","totale","TOTAL","totale","9","totale","2018","2018",190,,
