Territorio,Classe di età,Value
Piemonte,15-19 anni,59
Valle d'Aosta / Vallée d'Aoste,15-19 anni,0
Liguria,15-19 anni,18
Lombardia,15-19 anni,105
Trentino Alto Adige / Südtirol,15-19 anni,10
Veneto,15-19 anni,39
Friuli-Venezia Giulia,15-19 anni,14
Emilia-Romagna,15-19 anni,35
Toscana,15-19 anni,38
Umbria,15-19 anni,5
Marche,15-19 anni,23
Lazio,15-19 anni,83
Abruzzo,15-19 anni,8
Molise,15-19 anni,3
Campania,15-19 anni,69
Puglia,15-19 anni,98
Basilicata,15-19 anni,6
Calabria,15-19 anni,23
Sicilia,15-19 anni,129
Sardegna,15-19 anni,17
Piemonte,20-24 anni,250
Valle d'Aosta / Vallée d'Aoste,20-24 anni,9
Liguria,20-24 anni,74
Lombardia,20-24 anni,494
Trentino Alto Adige / Südtirol,20-24 anni,40
Veneto,20-24 anni,248
Friuli-Venezia Giulia,20-24 anni,61
Emilia-Romagna,20-24 anni,199
Toscana,20-24 anni,183
Umbria,20-24 anni,36
Marche,20-24 anni,73
Lazio,20-24 anni,357
Abruzzo,20-24 anni,53
Molise,20-24 anni,17
Campania,20-24 anni,237
Puglia,20-24 anni,322
Basilicata,20-24 anni,36
Calabria,20-24 anni,131
Sicilia,20-24 anni,424
Sardegna,20-24 anni,63
