"Age","Total males","Total females","Total"
"0","1839","1817","3656"
"1","2043","1844","3887"
"2","2038","1941","3979"
"3","2058","1956","4014"
"4","2025","2010","4035"
"5","2090","1937","4027"
"6","2309","2105","4414"
"7","2255","2127","4382"
"8","2304","2205","4509"
"9","2443","2262","4705"
"10","2527","2322","4849"
"11","2502","2301","4803"
"12","2590","2376","4966"
"13","2536","2382","4918"
"14","2612","2623","5235"
"15","2776","2517","5293"
"16","2812","2633","5445"
"17","2897","2598","5495"
"18","3084","2684","5768"
"19","3066","2759","5825"
"20","3153","2672","5825"
"21","3105","2749","5854"
"22","3119","2775","5894"
"23","3142","2848","5990"
"24","3180","2961","6141"
"25","3315","2995","6310"
"26","3517","3258","6775"
"27","3384","3229","6613"
"28","3597","3284","6881"
"29","3475","3191","6666"
"30","3410","3222","6632"
"31","3431","3119","6550"
"32","3351","3079","6430"
"33","3470","3154","6624"
"34","3487","3254","6741"
"35","3365","3265","6630"
"36","3371","3342","6713"
"37","3405","3265","6670"
"38","3416","3247","6663"
"39","3500","3334","6834"
"40","3750","3496","7246"
"41","3662","3740","7402"
"42","4031","3874","7905"
"43","3970","4060","8030"
"44","4177","4048","8225"
"45","4070","4011","8081"
"46","4059","4215","8274"
"47","4130","4232","8362"
"48","4144","4343","8487"
"49","4392","4333","8725"
"50","4329","4447","8776"
"51","4464","4611","9075"
"52","4251","4537","8788"
"53","4400","4537","8937"
"54","4540","4706","9246"
"55","4333","4414","8747"
"56","4399","4447","8846"
"57","4179","4410","8589"
"58","4072","4362","8434"
"59","3951","4152","8103"
"60","3849","3974","7823"
"61","3598","4046","7644"
"62","3775","4004","7779"
"63","3704","3736","7440"
"64","3602","3853","7455"
"65","3390","3491","6881"
"66","3260","3507","6767"
"67","3179","3442","6621"
"68","3373","3483","6856"
"69","3399","3511","6910"
"70","3367","3704","7071"
"71","3000","3377","6377"
"72","2733","3057","5790"
"73","2047","2461","4508"
"74","2064","2329","4393"
"75","2023","2307","4330"
"76","1928","2380","4308"
"77","1880","2372","4252"
"78","2258","2706","4964"
"79","2241","2848","5089"
"80","2021","2705","4726"
"81","1957","2705","4662"
"82","1798","2481","4279"
"83","1620","2433","4053"
"84","1564","2380","3944"
"85","1401","2199","3600"
"86","1194","1885","3079"
"87","1050","1718","2768"
"88","954","1683","2637"
"89","773","1375","2148"
"90","618","1114","1732"
"91","507","964","1471"
"92","355","820","1175"
"93","256","612","868"
"94","212","443","655"
"95","175","370","545"
"96","114","287","401"
"97","73","227","300"
"98","46","119","165"
"99","16","64","80"
"100 and over","21","101","122"
"Total","274697","283890","558587"
