"Age","Total males","Total females","Total"
"0","38643","36462","75105"
"1","40748","38368","79116"
"2","41883","39992","81875"
"3","43644","41051","84695"
"4","44503","42358","86861"
"5","45611","42922","88533"
"6","47314","44601","91915"
"7","48372","45415","93787"
"8","49952","46511","96463"
"9","50774","47918","98692"
"10","50685","47948","98633"
"11","50215","47226","97441"
"12","50489","47300","97789"
"13","49305","46158","95463"
"14","49024","46754","95778"
"15","48457","45255","93712"
"16","47811","44657","92468"
"17","48347","45187","93534"
"18","49566","45632","95198"
"19","49538","44933","94471"
"20","50850","44754","95604"
"21","50216","44876","95092"
"22","49525","44914","94439"
"23","48715","44610","93325"
"24","48781","45378","94159"
"25","49448","46560","96008"
"26","51158","48344","99502"
"27","51535","49190","100725"
"28","53019","50973","103992"
"29","53270","51916","105186"
"30","55515","53251","108766"
"31","54375","52893","107268"
"32","54955","53567","108522"
"33","56752","55676","112428"
"34","58414","56924","115338"
"35","59784","58770","118554"
"36","62309","61000","123309"
"37","62898","61407","124305"
"38","64208","62848","127056"
"39","65930","64453","130383"
"40","69969","67883","137852"
"41","72933","70872","143805"
"42","75778","73595","149373"
"43","80575","78582","159157"
"44","83326","80789","164115"
"45","82882","81172","164054"
"46","84016","81532","165548"
"47","84284","81254","165538"
"48","83234","80899","164133"
"49","84965","83398","168363"
"50","84721","82786","167507"
"51","83986","83025","167011"
"52","85850","84179","170029"
"53","84689","83850","168539"
"54","84021","83241","167262"
"55","77674","78643","156317"
"56","73451","74848","148299"
"57","70905","72700","143605"
"58","68154","70372","138526"
"59","65673","68850","134523"
"60","62643","65384","128027"
"61","61057","64299","125356"
"62","59841","63274","123115"
"63","57275","62137","119412"
"64","56219","60549","116768"
"65","54231","58398","112629"
"66","53512","58479","111991"
"67","52471","58171","110642"
"68","54643","60287","114930"
"69","54758","60873","115631"
"70","56140","63058","119198"
"71","54010","61045","115055"
"72","54953","62833","117786"
"73","40057","46284","86341"
"74","41828","49739","91567"
"75","40501","49160","89661"
"76","40597","49935","90532"
"77","40363","51035","91398"
"78","43231","54613","97844"
"79","41048","52912","93960"
"80","37972","50871","88843"
"81","32542","45238","77780"
"82","28028","40646","68674"
"83","26769","40723","67492"
"84","23271","37392","60663"
"85","20183","34564","54747"
"86","17807","32233","50040"
"87","15375","29451","44826"
"88","13205","27533","40738"
"89","10297","23250","33547"
"90","8074","20024","28098"
"91","6313","16945","23258"
"92","4710","13762","18472"
"93","3459","11341","14800"
"94","2444","9075","11519"
"95","1864","6951","8815"
"96","1150","5080","6230"
"97","781","3871","4652"
"98","510","2617","3127"
"99","195","1232","1427"
"100 and over","250","1946","2196"
"Total","4902201","5108632","10010833"
