"Age","Total males","Total females","Total"
"0","941","913","1854"
"1","1098","988","2086"
"2","1037","1007","2044"
"3","1103","1026","2129"
"4","1172","997","2169"
"5","1130","1076","2206"
"6","1177","1089","2266"
"7","1163","1148","2311"
"8","1275","1158","2433"
"9","1182","1097","2279"
"10","1308","1171","2479"
"11","1269","1213","2482"
"12","1269","1212","2481"
"13","1343","1219","2562"
"14","1372","1202","2574"
"15","1349","1247","2596"
"16","1348","1314","2662"
"17","1402","1313","2715"
"18","1509","1384","2893"
"19","1624","1383","3007"
"20","1827","1418","3245"
"21","1743","1407","3150"
"22","1662","1494","3156"
"23","1686","1532","3218"
"24","1777","1526","3303"
"25","1789","1602","3391"
"26","1850","1695","3545"
"27","1913","1594","3507"
"28","1804","1654","3458"
"29","1809","1637","3446"
"30","1816","1659","3475"
"31","1871","1645","3516"
"32","1807","1588","3395"
"33","1823","1701","3524"
"34","1819","1680","3499"
"35","1847","1675","3522"
"36","1863","1787","3650"
"37","1891","1801","3692"
"38","1846","1787","3633"
"39","1931","1890","3821"
"40","1971","1927","3898"
"41","2003","1971","3974"
"42","2165","1925","4090"
"43","2217","2140","4357"
"44","2274","2232","4506"
"45","2162","2200","4362"
"46","2224","2253","4477"
"47","2226","2221","4447"
"48","2225","2235","4460"
"49","2307","2386","4693"
"50","2345","2385","4730"
"51","2356","2478","4834"
"52","2381","2507","4888"
"53","2424","2468","4892"
"54","2534","2513","5047"
"55","2377","2322","4699"
"56","2261","2335","4596"
"57","2305","2250","4555"
"58","2291","2352","4643"
"59","2174","2281","4455"
"60","2004","2208","4212"
"61","2081","2133","4214"
"62","2116","2100","4216"
"63","2048","2098","4146"
"64","2011","2164","4175"
"65","1863","1944","3807"
"66","1903","2027","3930"
"67","1767","1865","3632"
"68","1935","1994","3929"
"69","1997","2073","4070"
"70","1929","2011","3940"
"71","1804","1947","3751"
"72","1719","1746","3465"
"73","1276","1406","2682"
"74","1227","1395","2622"
"75","1136","1311","2447"
"76","1101","1253","2354"
"77","1149","1425","2574"
"78","1265","1622","2887"
"79","1287","1721","3008"
"80","1132","1428","2560"
"81","1057","1460","2517"
"82","986","1491","2477"
"83","934","1422","2356"
"84","926","1378","2304"
"85","805","1312","2117"
"86","657","1138","1795"
"87","604","1053","1657"
"88","546","1100","1646"
"89","448","859","1307"
"90","321","744","1065"
"91","285","691","976"
"92","208","563","771"
"93","155","417","572"
"94","126","351","477"
"95","93","262","355"
"96","71","215","286"
"97","55","157","212"
"98","31","108","139"
"99","14","45","59"
"100 and over","22","82","104"
"Total","149761","154029","303790"
