"Age","Total males","Total females","Total"
"0","20191","19141","39332"
"1","20891","19611","40502"
"2","20766","19889","40655"
"3","21595","20402","41997"
"4","22103","20956","43059"
"5","21758","20756","42514"
"6","22805","21873","44678"
"7","22871","21917","44788"
"8","23617","22686","46303"
"9","24337","23030","47367"
"10","24706","23426","48132"
"11","24500","23291","47791"
"12","25370","23411","48781"
"13","25645","24107","49752"
"14","26086","24594","50680"
"15","25978","24659","50637"
"16","26126","24706","50832"
"17","27179","25053","52232"
"18","28801","25330","54131"
"19","29211","26106","55317"
"20","28454","25805","54259"
"21","28345","25966","54311"
"22","28323","26396","54719"
"23","28466","26777","55243"
"24","29205","27425","56630"
"25","29881","28612","58493"
"26","31058","29745","60803"
"27","30411","29177","59588"
"28","30605","29438","60043"
"29","30346","29537","59883"
"30","30505","29460","59965"
"31","29558","28672","58230"
"32","29543","28607","58150"
"33","29460","29047","58507"
"34","29904","29708","59612"
"35","29548","29277","58825"
"36","30383","30237","60620"
"37","30213","30362","60575"
"38","31369","31432","62801"
"39","31498","31975","63473"
"40","32473","32759","65232"
"41","32745","33408","66153"
"42","34474","34990","69464"
"43","35248","35880","71128"
"44","36231","37347","73578"
"45","35466","36766","72232"
"46","35584","36952","72536"
"47","35999","38010","74009"
"48","35483","37860","73343"
"49","36932","38727","75659"
"50","36293","38402","74695"
"51","36661","38754","75415"
"52","36248","38615","74863"
"53","35841","38467","74308"
"54","36958","39240","76198"
"55","34808","37260","72068"
"56","34445","37367","71812"
"57","33507","36501","70008"
"58","33364","36717","70081"
"59","31902","34583","66485"
"60","30649","33606","64255"
"61","30517","33624","64141"
"62","29653","32821","62474"
"63","29830","32283","62113"
"64","29082","32458","61540"
"65","26878","29698","56576"
"66","26415","29419","55834"
"67","26292","28870","55162"
"68","26826","29881","56707"
"69","26711","30070","56781"
"70","27466","30910","58376"
"71","26767","30397","57164"
"72","24069","27914","51983"
"73","20243","23384","43627"
"74","18993","22494","41487"
"75","17771","21374","39145"
"76","17104","21198","38302"
"77","16707","21148","37855"
"78","18433","23893","42326"
"79","17311","22572","39883"
"80","15803","21357","37160"
"81","13649","18820","32469"
"82","12758","17934","30692"
"83","11883","17449","29332"
"84","11142","16776","27918"
"85","10094","15508","25602"
"86","8228","13643","21871"
"87","7269","12579","19848"
"88","6664","12170","18834"
"89","4890","9450","14340"
"90","4034","8142","12176"
"91","3139","6429","9568"
"92","2412","5594","8006"
"93","1786","4357","6143"
"94","1329","3586","4915"
"95","926","2477","3403"
"96","650","1955","2605"
"97","424","1272","1696"
"98","267","939","1206"
"99","129","450","579"
"100 and over","187","790","977"
"Total","2387653","2520895","4908548"
