"Age","Total males","Total females","Total"
"0","4949","4690","9639"
"1","5125","4836","9961"
"2","5234","5006","10240"
"3","5295","5006","10301"
"4","5453","5133","10586"
"5","5466","5128","10594"
"6","5571","5232","10803"
"7","5553","5308","10861"
"8","5711","5315","11026"
"9","5631","5284","10915"
"10","5746","5466","11212"
"11","5781","5323","11104"
"12","5757","5425","11182"
"13","5926","5399","11325"
"14","5910","5568","11478"
"15","5819","5375","11194"
"16","5723","5353","11076"
"17","5959","5425","11384"
"18","6003","5670","11673"
"19","6069","5659","11728"
"20","6108","5743","11851"
"21","6202","5615","11817"
"22","6098","5683","11781"
"23","6033","5487","11520"
"24","6023","5693","11716"
"25","5909","5686","11595"
"26","6193","5830","12023"
"27","6180","5785","11965"
"28","6220","5857","12077"
"29","6052","5886","11938"
"30","6107","5863","11970"
"31","5947","5848","11795"
"32","6024","5831","11855"
"33","6175","5990","12165"
"34","6237","5994","12231"
"35","6354","6215","12569"
"36","6542","6451","12993"
"37","6534","6375","12909"
"38","6597","6475","13072"
"39","6510","6619","13129"
"40","6948","6912","13860"
"41","6997","6954","13951"
"42","7118","7370","14488"
"43","7534","7739","15273"
"44","8130","8059","16189"
"45","8022","8208","16230"
"46","8204","8255","16459"
"47","8522","8536","17058"
"48","8340","8388","16728"
"49","8987","8607","17594"
"50","8835","8641","17476"
"51","8633","8774","17407"
"52","8886","8848","17734"
"53","9145","8784","17929"
"54","8995","8830","17825"
"55","8432","8278","16710"
"56","7846","7957","15803"
"57","7767","8009","15776"
"58","7580","7513","15093"
"59","7328","7241","14569"
"60","6787","6886","13673"
"61","6490","6901","13391"
"62","6443","6541","12984"
"63","6123","6254","12377"
"64","5869","6074","11943"
"65","5724","6029","11753"
"66","5545","5887","11432"
"67","5491","5638","11129"
"68","5509","5923","11432"
"69","5335","5601","10936"
"70","5493","5780","11273"
"71","5132","5754","10886"
"72","5457","6167","11624"
"73","3902","4344","8246"
"74","4370","5045","9415"
"75","4580","5296","9876"
"76","4438","5242","9680"
"77","4336","5236","9572"
"78","4017","5051","9068"
"79","3794","4802","8596"
"80","3472","4493","7965"
"81","3044","4009","7053"
"82","2637","3814","6451"
"83","2445","3704","6149"
"84","2251","3519","5770"
"85","2084","3276","5360"
"86","1827","3065","4892"
"87","1620","2825","4445"
"88","1424","2781","4205"
"89","1073","2314","3387"
"90","945","2042","2987"
"91","729","1739","2468"
"92","547","1452","1999"
"93","430","1221","1651"
"94","298","1009","1307"
"95","250","879","1129"
"96","170","679","849"
"97","106","446","552"
"98","63","305","368"
"99","29","139","168"
"100 and over","25","163","188"
"Total","529279","544755","1074034"
