"Age","Total males","Total females","Total"
"0","468","416","884"
"1","471","420","891"
"2","503","455","958"
"3","489","480","969"
"4","553","505","1058"
"5","512","520","1032"
"6","576","546","1122"
"7","606","578","1184"
"8","582","581","1163"
"9","636","593","1229"
"10","621","588","1209"
"11","626","590","1216"
"12","657","582","1239"
"13","587","559","1146"
"14","593","582","1175"
"15","591","589","1180"
"16","599","517","1116"
"17","624","557","1181"
"18","641","589","1230"
"19","640","573","1213"
"20","634","564","1198"
"21","589","541","1130"
"22","641","573","1214"
"23","608","559","1167"
"24","574","560","1134"
"25","586","554","1140"
"26","651","587","1238"
"27","614","569","1183"
"28","624","647","1271"
"29","642","576","1218"
"30","649","626","1275"
"31","632","629","1261"
"32","607","646","1253"
"33","655","631","1286"
"34","657","654","1311"
"35","699","689","1388"
"36","674","723","1397"
"37","669","674","1343"
"38","761","680","1441"
"39","740","704","1444"
"40","872","829","1701"
"41","834","812","1646"
"42","854","921","1775"
"43","902","950","1852"
"44","996","965","1961"
"45","996","1009","2005"
"46","989","1035","2024"
"47","1029","1076","2105"
"48","1014","1050","2064"
"49","1080","1124","2204"
"50","1046","1081","2127"
"51","1070","1110","2180"
"52","1104","1104","2208"
"53","1071","1064","2135"
"54","1160","1121","2281"
"55","1069","1025","2094"
"56","941","989","1930"
"57","988","936","1924"
"58","853","905","1758"
"59","909","956","1865"
"60","826","856","1682"
"61","815","851","1666"
"62","805","806","1611"
"63","763","867","1630"
"64","777","830","1607"
"65","797","778","1575"
"66","751","750","1501"
"67","737","780","1517"
"68","745","771","1516"
"69","755","834","1589"
"70","764","842","1606"
"71","759","747","1506"
"72","694","747","1441"
"73","501","603","1104"
"74","582","590","1172"
"75","602","632","1234"
"76","577","642","1219"
"77","546","676","1222"
"78","562","698","1260"
"79","516","654","1170"
"80","509","665","1174"
"81","414","591","1005"
"82","363","530","893"
"83","330","492","822"
"84","270","467","737"
"85","267","470","737"
"86","222","408","630"
"87","209","385","594"
"88","191","392","583"
"89","152","303","455"
"90","121","275","396"
"91","78","237","315"
"92","63","195","258"
"93","60","143","203"
"94","28","103","131"
"95","22","92","114"
"96","15","79","94"
"97","11","64","75"
"98","6","33","39"
"99","4","15","19"
"100 and over","4","21","25"
"Total","61471","64182","125653"
