"Age","Total males","Total females","Total"
"0","18005","17069","35074"
"1","18949","17787","36736"
"2","19574","18412","37986"
"3","20020","19083","39103"
"4","20660","19837","40497"
"5","21354","20235","41589"
"6","22457","21252","43709"
"7","22745","21673","44418"
"8","23639","22188","45827"
"9","23984","22576","46560"
"10","24404","23136","47540"
"11","24028","22946","46974"
"12","24214","22793","47007"
"13","24112","22517","46629"
"14","24377","22948","47325"
"15","23790","22569","46359"
"16","23735","22114","45849"
"17","23622","21963","45585"
"18","24609","22948","47557"
"19","24218","22742","46960"
"20","25010","22689","47699"
"21","24924","22792","47716"
"22","24742","22476","47218"
"23","24448","21975","46423"
"24","24173","22511","46684"
"25","24067","23025","47092"
"26","25194","23735","48929"
"27","24836","23934","48770"
"28","25665","24335","50000"
"29","25162","24553","49715"
"30","25623","25283","50906"
"31","24943","24315","49258"
"32","24902","24952","49854"
"33","26214","26303","52517"
"34","26230","26429","52659"
"35","27111","26695","53806"
"36","27772","28180","55952"
"37","28650","28468","57118"
"38","29790","28941","58731"
"39","30852","30474","61326"
"40","32996","32610","65606"
"41","33948","33995","67943"
"42","35874","35293","71167"
"43","37775","37049","74824"
"44","40060","39512","79572"
"45","39833","39156","78989"
"46","40748","39412","80160"
"47","40846","40356","81202"
"48","41066","40228","81294"
"49","42117","41310","83427"
"50","41402","41112","82514"
"51","41844","41299","83143"
"52","42094","41721","83815"
"53","42106","41729","83835"
"54","41968","42462","84430"
"55","39353","39687","79040"
"56","37855","38209","76064"
"57","36878","37525","74403"
"58","34693","35587","70280"
"59","34447","35322","69769"
"60","32046","33326","65372"
"61","31380","32511","63891"
"62","30489","32184","62673"
"63","29226","31064","60290"
"64","28934","30317","59251"
"65","27890","29259","57149"
"66","27126","28959","56085"
"67","26782","28328","55110"
"68","27350","29971","57321"
"69","27117","29252","56369"
"70","27475","30236","57711"
"71","26601","29482","56083"
"72","28582","31790","60372"
"73","19026","22014","41040"
"74","21915","25198","47113"
"75","21745","25830","47575"
"76","20621","25000","45621"
"77","20258","24473","44731"
"78","20720","25841","46561"
"79","19951","24688","44639"
"80","18068","23936","42004"
"81","15684","21474","37158"
"82","13552","19823","33375"
"83","13118","19381","32499"
"84","11715","18179","29894"
"85","9771","16089","25860"
"86","8494","15509","24003"
"87","7358","14187","21545"
"88","6540","13709","20249"
"89","5069","11154","16223"
"90","4069","10224","14293"
"91","3333","8971","12304"
"92","2454","7219","9673"
"93","1842","5917","7759"
"94","1319","4555","5874"
"95","1037","3721","4758"
"96","637","2688","3325"
"97","407","1934","2341"
"98","253","1328","1581"
"99","112","593","705"
"100 and over","125","951","1076"
"Total","2390898","2493692","4884590"
