ITTER107,Region,Age,Males_value,Females_value,Population_value
ITC1,Piemonte,0,14145,13640,27785
ITC1,Piemonte,1,14705,14291,28996
ITC1,Piemonte,2,15653,15180,30833
ITC1,Piemonte,3,16397,15656,32053
ITC1,Piemonte,4,17102,15731,32833
ITC1,Piemonte,5,17441,16740,34181
ITC1,Piemonte,6,18050,17015,35065
ITC1,Piemonte,7,18764,17650,36414
ITC1,Piemonte,8,19087,17611,36698
ITC1,Piemonte,9,19364,18213,37577
ITC1,Piemonte,10,19847,18804,38651
ITC1,Piemonte,11,20113,18823,38936
ITC1,Piemonte,12,20004,18908,38912
ITC1,Piemonte,13,19762,18588,38350
ITC1,Piemonte,14,19675,18479,38154
ITC1,Piemonte,15,19753,18360,38113
ITC1,Piemonte,16,19757,18497,38254
ITC1,Piemonte,17,19259,18458,37717
ITC1,Piemonte,18,19628,18381,38009
ITC1,Piemonte,19,20637,19002,39639
ITC1,Piemonte,20,20734,18520,39254
ITC1,Piemonte,21,21331,18762,40093
ITC1,Piemonte,22,20902,19012,39914
ITC1,Piemonte,23,20810,18639,39449
ITC1,Piemonte,24,20627,18781,39408
ITC1,Piemonte,25,20662,19165,39827
ITC1,Piemonte,26,20976,19503,40479
ITC1,Piemonte,27,21675,20284,41959
ITC1,Piemonte,28,21786,20520,42306
ITC1,Piemonte,29,22538,20963,43501
ITC1,Piemonte,30,22017,20897,42914
ITC1,Piemonte,31,22635,21550,44185
ITC1,Piemonte,32,21795,21395,43190
ITC1,Piemonte,33,22323,21565,43888
ITC1,Piemonte,34,22741,22372,45113
ITC1,Piemonte,35,22748,22647,45395
ITC1,Piemonte,36,23519,23286,46805
ITC1,Piemonte,37,24452,24252,48704
ITC1,Piemonte,38,24403,24499,48902
ITC1,Piemonte,39,25117,25154,50271
ITC1,Piemonte,40,25911,25657,51568
ITC1,Piemonte,41,27565,27588,55153
ITC1,Piemonte,42,28821,29281,58102
ITC1,Piemonte,43,30200,30574,60774
ITC1,Piemonte,44,31976,32480,64456
ITC1,Piemonte,45,33644,33676,67320
ITC1,Piemonte,46,33715,33500,67215
ITC1,Piemonte,47,34413,34456,68869
ITC1,Piemonte,48,34671,35322,69993
ITC1,Piemonte,49,34385,34910,69295
