"Age","Total males","Total females","Total"
"0","7242","6935","14177"
"1","7593","7184","14777"
"2","7854","7491","15345"
"3","8008","7620","15628"
"4","8155","7746","15901"
"5","8321","7747","16068"
"6","8191","7884","16075"
"7","8540","7943","16483"
"8","8638","8076","16714"
"9","8792","8462","17254"
"10","9055","8436","17491"
"11","8922","8771","17693"
"12","9189","8571","17760"
"13","9466","8812","18278"
"14","9340","8739","18079"
"15","9660","9005","18665"
"16","9666","9034","18700"
"17","9662","8911","18573"
"18","9990","9413","19403"
"19","10465","9602","20067"
"20","10549","9502","20051"
"21","10677","9766","20443"
"22","10414","9621","20035"
"23","10753","9780","20533"
"24","10722","10162","20884"
"25","11050","10278","21328"
"26","11393","10751","22144"
"27","11535","11219","22754"
"28","11548","11025","22573"
"29","11879","11265","23144"
"30","12007","11407","23414"
"31","12188","11734","23922"
"32","11835","11632","23467"
"33","11741","11443","23184"
"34","11803","11492","23295"
"35","12207","11456","23663"
"36","11944","11578","23522"
"37","12040","11953","23993"
"38","12072","11877","23949"
"39","12249","12010","24259"
"40","12406","12420","24826"
"41","12670","12490","25160"
"42","12650","13040","25690"
"43","13353","13586","26939"
"44","13337","13524","26861"
"45","13358","13825","27183"
"46","13368","13749","27117"
"47","13306","14041","27347"
"48","13422","14341","27763"
"49","13335","14196","27531"
"50","13915","15136","29051"
"51","13847","14772","28619"
"52","13980","14973","28953"
"53","13953","15094","29047"
"54","13902","14902","28804"
"55","14534","15528","30062"
"56","13690","14683","28373"
"57","13590","14691","28281"
"58","13455","14502","27957"
"59","13360","14297","27657"
"60","13049","13911","26960"
"61","12129","12927","25056"
"62","12620","13143","25763"
"63","12102","12773","24875"
"64","12021","12652","24673"
"65","11962","12513","24475"
"66","11269","11776","23045"
"67","10575","11170","21745"
"68","10693","11461","22154"
"69","10886","11583","22469"
"70","10811","11549","22360"
"71","10748","11735","22483"
"72","10411","11297","21708"
"73","9344","10387","19731"
"74","7222","8012","15234"
"75","7211","7914","15125"
"76","6829","7948","14777"
"77","6695","7810","14505"
"78","6307","7470","13777"
"79","6994","8514","15508"
"80","6570","8203","14773"
"81","5819","7815","13634"
"82","5411","7238","12649"
"83","4925","7067","11992"
"84","4693","6774","11467"
"85","4214","6282","10496"
"86","3942","5976","9918"
"87","3215","5408","8623"
"88","2741","4790","7531"
"89","2377","4260","6637"
"90","1817","3468","5285"
"91","1442","2853","4295"
"92","1091","2340","3431"
"93","859","1940","2799"
"94","618","1508","2126"
"95","461","1209","1670"
"96","321","881","1202"
"97","215","599","814"
"98","128","439","567"
"99","107","302","409"
"100 and over","102","358","460"
"Total","927732","966378","1894110"
