"Age","Total males","Total females","Total"
"0","23548","22462","46010"
"1","24392","22746","47138"
"2","25245","24101","49346"
"3","25422","24056","49478"
"4","25755","24455","50210"
"5","26369","24576","50945"
"6","26543","25463","52006"
"7","28135","26238","54373"
"8","28661","26870","55531"
"9","29648","27591","57239"
"10","30083","28701","58784"
"11","30405","29066","59471"
"12","31065","29669","60734"
"13","31568","29537","61105"
"14","31716","29988","61704"
"15","32881","30912","63793"
"16","32944","31576","64520"
"17","32907","31204","64111"
"18","34083","31736","65819"
"19","34789","32455","67244"
"20","35099","32426","67525"
"21","35426","32326","67752"
"22","35245","32389","67634"
"23","35249","32905","68154"
"24","34679","33423","68102"
"25","35176","33582","68758"
"26","35466","34362","69828"
"27","36800","35854","72654"
"28","36232","35588","71820"
"29","35958","35294","71252"
"30","35567","35215","70782"
"31","35879","35798","71677"
"32","35137","34254","69391"
"33","34643","34189","68832"
"34","35725","34665","70390"
"35","35596","35841","71437"
"36","35980","36025","72005"
"37","37127","36689","73816"
"38","36239","36702","72941"
"39","37055","36932","73987"
"40","37549","38091","75640"
"41","38483","39232","77715"
"42","39267","39978","79245"
"43","40615","41593","82208"
"44","42193","42816","85009"
"45","43116","44827","87943"
"46","42280","44381","86661"
"47","42565","44669","87234"
"48","42476","45209","87685"
"49","41719","44538","86257"
"50","43091","45468","88559"
"51","42853","45637","88490"
"52","43220","46290","89510"
"53","43598","46445","90043"
"54","43588","46343","89931"
"55","44388","47363","91751"
"56","41300","44681","85981"
"57","40139","43762","83901"
"58","39222","42815","82037"
"59","37444","41037","78481"
"60","37047","40129","77176"
"61","34939","38127","73066"
"62","34478","37499","71977"
"63","32639","35943","68582"
"64","33276","35853","69129"
"65","32405","35734","68139"
"66","29845","32447","62292"
"67","28725","31315","60040"
"68","28700","31173","59873"
"69","28825","31768","60593"
"70","28408","31781","60189"
"71","28798","32349","61147"
"72","27315","31061","58376"
"73","27197","31071","58268"
"74","21796","25201","46997"
"75","18119","21575","39694"
"76","18807","23506","42313"
"77","17589","22110","39699"
"78","16132","21335","37467"
"79","17270","22960","40230"
"80","16138","22169","38307"
"81","14162","20119","34281"
"82","12837","18623","31460"
"83","10891","17016","27907"
"84","10401","16460","26861"
"85","8873","14726","23599"
"86","8103","13878","21981"
"87","6918","12271","19189"
"88","5743","10959","16702"
"89","4870","10116","14986"
"90","3740","7979","11719"
"91","2873","6756","9629"
"92","2150","5346","7496"
"93","1613","4141","5754"
"94","1095","3281","4376"
"95","785","2409","3194"
"96","557","1809","2366"
"97","395","1275","1670"
"98","237","912","1149"
"99","183","600","783"
"100 and over","199","709","908"
"Total","2784616","2927527","5712143"
