"Age","Total males","Total females","Total"
"0","15718","15196","30914"
"1","17006","15773","32779"
"2","17483","16256","33739"
"3","18132","17215","35347"
"4","18734","17773","36507"
"5","19223","18227","37450"
"6","19618","18767","38385"
"7","20495","19098","39593"
"8","20718","19658","40376"
"9","21558","20162","41720"
"10","21765","20652","42417"
"11","21771","20392","42163"
"12","21699","20175","41874"
"13","21439","20067","41506"
"14","21059","19784","40843"
"15","20838","19620","40458"
"16","20486","19008","39494"
"17","20704","19111","39815"
"18","20769","19141","39910"
"19","21518","19308","40826"
"20","21081","19047","40128"
"21","21783","18687","40470"
"22","21349","19144","40493"
"23","21123","19286","40409"
"24","21216","19141","40357"
"25","21374","19848","41222"
"26","21725","20162","41887"
"27","22792","21605","44397"
"28","23081","21897","44978"
"29","23563","22756","46319"
"30","23346","22804","46150"
"31","23813","23070","46883"
"32","23451","23413","46864"
"33","23664","23774","47438"
"34","24641","24687","49328"
"35","25313","25169","50482"
"36","25731","25890","51621"
"37","26551","26649","53200"
"38","26836","26777","53613"
"39","27916","27746","55662"
"40","28841","29157","57998"
"41","30845","30875","61720"
"42","32046","32276","64322"
"43","33697","33819","67516"
"44","35416","35578","70994"
"45","37239","36828","74067"
"46","37029","37014","74043"
"47","37184","37042","74226"
"48","37425","37303","74728"
"49","36659","37039","73698"
"50","36996","37380","74376"
"51","36946","37027","73973"
"52","36309","36534","72843"
"53","36646","36868","73514"
"54","35959","36508","72467"
"55","36418","37256","73674"
"56","33960","34918","68878"
"57","32382","34068","66450"
"58","31593","33399","64992"
"59","30419","32511","62930"
"60","29673","31756","61429"
"61","28177","30263","58440"
"62","27851","30115","57966"
"63","27291","29618","56909"
"64","26042","28431","54473"
"65","24915","27965","52880"
"66","23892","26640","50532"
"67","23180","26523","49703"
"68","22969","25856","48825"
"69","23818","27236","51054"
"70","24102","27349","51451"
"71","25327","28751","54078"
"72","25306","28161","53467"
"73","25103","28807","53910"
"74","17325","20463","37788"
"75","19280","22565","41845"
"76","18814","22309","41123"
"77","18015","21897","39912"
"78","18099","22185","40284"
"79","18944","24327","43271"
"80","18169","23619","41788"
"81","17473","23127","40600"
"82","15219","20252","35471"
"83","12896","18388","31284"
"84","12968","18660","31628"
"85","11608","17673","29281"
"86","9893","15674","25567"
"87","8364","14026","22390"
"88","7528","13162","20690"
"89","6464","12503","18967"
"90","5062","10217","15279"
"91","4083","8996","13079"
"92","3132","7753","10885"
"93","2338","6285","8623"
"94","1720","5254","6974"
"95","1316","3998","5314"
"96","858","3154","4012"
"97","575","2234","2809"
"98","406","1602","2008"
"99","263","1026","1289"
"100 and over","232","1183","1415"
"Total","2173781","2290338","4464119"
