"Age","Total males","Total females","Total"
"0","37093","35467","72560"
"1","39098","36924","76022"
"2","41028","38592","79620"
"3","42056","40244","82300"
"4","43830","41237","85067"
"5","44709","42533","87242"
"6","45838","42983","88821"
"7","47353","44660","92013"
"8","48448","45543","93991"
"9","50128","46654","96782"
"10","50771","47893","98664"
"11","50809","47928","98737"
"12","50304","47264","97568"
"13","50620","47347","97967"
"14","49488","46241","95729"
"15","49196","46883","96079"
"16","48738","45352","94090"
"17","48077","44769","92846"
"18","48965","45473","94438"
"19","50441","46118","96559"
"20","50285","45505","95790"
"21","51296","45312","96608"
"22","50608","45548","96156"
"23","50047","45646","95693"
"24","49360","45629","94989"
"25","49672","46619","96291"
"26","50455","47959","98414"
"27","52397","49840","102237"
"28","52719","50695","103414"
"29","54235","52332","106567"
"30","54352","53202","107554"
"31","56489","54323","110812"
"32","55216","53877","109093"
"33","55740","54378","110118"
"34","57422","56430","113852"
"35","59067","57477","116544"
"36","60315","59273","119588"
"37","62732","61380","124112"
"38","63251","61744","124995"
"39","64460","63071","127531"
"40","66164","64610","130774"
"41","70041","68064","138105"
"42","73023","70983","144006"
"43","75806","73739","149545"
"44","80613","78690","159303"
"45","83345","80832","164177"
"46","82761","81260","164021"
"47","83870","81567","165437"
"48","84253","81331","165584"
"49","83100","81021","164121"
"50","84832","83430","168262"
"51","84552","82788","167340"
"52","83725","82957","166682"
"53","85495","84157","169652"
"54","84436","83800","168236"
"55","83770","83187","166957"
"56","77408","78489","155897"
"57","73124","74733","147857"
"58","70576","72608","143184"
"59","67792","70250","138042"
"60","65281","68668","133949"
"61","62178","65238","127416"
"62","60628","64086","124714"
"63","59412","62993","122405"
"64","56730","61918","118648"
"65","55641","60253","115894"
"66","53650","58088","111738"
"67","52901","58131","111032"
"68","51811","57818","109629"
"69","53885","59808","113693"
"70","53947","60389","114336"
"71","55243","62509","117752"
"72","53049","60453","113502"
"73","53809","62153","115962"
"74","39091","45685","84776"
"75","40770","49059","89829"
"76","39411","48388","87799"
"77","39326","49065","88391"
"78","38950","50014","88964"
"79","41497","53401","94898"
"80","39206","51554","90760"
"81","36149","49382","85531"
"82","30772","43613","74385"
"83","26228","39047","65275"
"84","24841","38863","63704"
"85","21307","35346","56653"
"86","18237","32392","50629"
"87","15918","29830","45748"
"88","13514","27035","40549"
"89","11415","24828","36243"
"90","8649","20681","29330"
"91","6670","17382","24052"
"92","5114","14465","19579"
"93","3712","11581","15293"
"94","2639","9290","11929"
"95","1797","7186","8983"
"96","1288","5346","6634"
"97","819","3805","4624"
"98","536","2792","3328"
"99","312","1781","2093"
"100 and over","248","2070","2318"
"Total","4912375","5115227","10027602"
