"Age","Total males","Total females","Total"
"0","3820","3630","7450"
"1","4003","3799","7802"
"2","4206","4023","8229"
"3","4430","4185","8615"
"4","4441","4274","8715"
"5","4790","4453","9243"
"6","4862","4564","9426"
"7","5028","4816","9844"
"8","5250","4771","10021"
"9","5352","5058","10410"
"10","5391","5159","10550"
"11","5449","5085","10534"
"12","5453","5281","10734"
"13","5426","5264","10690"
"14","5455","5056","10511"
"15","5359","5221","10580"
"16","5469","5048","10517"
"17","5362","5022","10384"
"18","5565","5021","10586"
"19","5672","5272","10944"
"20","5548","5038","10586"
"21","5659","5062","10721"
"22","5556","5020","10576"
"23","5759","5115","10874"
"24","5565","5002","10567"
"25","5547","5045","10592"
"26","5664","5097","10761"
"27","5928","5487","11415"
"28","5934","5627","11561"
"29","6037","5661","11698"
"30","6011","5690","11701"
"31","6117","5893","12010"
"32","5808","5729","11537"
"33","6026","5830","11856"
"34","6244","6150","12394"
"35","6465","6133","12598"
"36","6496","6154","12650"
"37","6818","6568","13386"
"38","6922","6567","13489"
"39","7196","6812","14008"
"40","7400","6991","14391"
"41","8029","7635","15664"
"42","8097","7818","15915"
"43","8442","8432","16874"
"44","9003","8868","17871"
"45","9739","9581","19320"
"46","9509","9624","19133"
"47","9896","9842","19738"
"48","9871","9911","19782"
"49","9859","10130","19989"
"50","10102","9969","20071"
"51","10060","9923","19983"
"52","10014","10203","20217"
"53","10033","10224","20257"
"54","10217","10270","20487"
"55","10385","10439","20824"
"56","9704","10044","19748"
"57","9250","9430","18680"
"58","9088","9131","18219"
"59","8789","8808","17597"
"60","8544","8803","17347"
"61","7935","8419","16354"
"62","7650","8311","15961"
"63","7673","8074","15747"
"64","7477","7900","15377"
"65","7221","7881","15102"
"66","7133","7867","15000"
"67","6928","7881","14809"
"68","6840","7754","14594"
"69","7288","8210","15498"
"70","7189","8023","15212"
"71","7627","8511","16138"
"72","7432","8632","16064"
"73","7873","8887","16760"
"74","5318","6044","11362"
"75","6150","7290","13440"
"76","5979","7092","13071"
"77","5781","7220","13001"
"78","5777","7183","12960"
"79","5922","7479","13401"
"80","5357","7086","12443"
"81","4971","6683","11654"
"82","4364","5988","10352"
"83","3643","5517","9160"
"84","3352","5204","8556"
"85","2745","4750","7495"
"86","2467","4319","6786"
"87","2111","4056","6167"
"88","1844","3648","5492"
"89","1643","3559","5202"
"90","1205","2954","4159"
"91","987","2531","3518"
"92","757","2220","2977"
"93","559","1913","2472"
"94","446","1529","1975"
"95","346","1219","1565"
"96","239","948","1187"
"97","153","680","833"
"98","101","581","682"
"99","71","355","426"
"100 and over","51","341","392"
"Total","586719","619497","1206216"
