"Age","Total males","Total females","Total"
"0","5006","4576","9582"
"1","5217","4923","10140"
"2","5485","5221","10706"
"3","5909","5493","11402"
"4","6022","5839","11861"
"5","6275","5904","12179"
"6","6515","5975","12490"
"7","6594","6224","12818"
"8","6826","6626","13452"
"9","7042","6590","13632"
"10","7218","6782","14000"
"11","7267","6807","14074"
"12","7158","6709","13867"
"13","7050","6645","13695"
"14","7003","6663","13666"
"15","7126","6574","13700"
"16","6944","6608","13552"
"17","7113","6569","13682"
"18","7064","6594","13658"
"19","7551","6723","14274"
"20","7463","6772","14235"
"21","7785","6790","14575"
"22","7587","6826","14413"
"23","7510","6763","14273"
"24","7561","6867","14428"
"25","7436","6872","14308"
"26","7500","7100","14600"
"27","7842","7359","15201"
"28","7863","7292","15155"
"29","7957","7594","15551"
"30","7791","7576","15367"
"31","7883","7842","15725"
"32","7799","7574","15373"
"33","8082","7849","15931"
"34","8080","8210","16290"
"35","8255","8226","16481"
"36","8441","8565","17006"
"37","8901","8844","17745"
"38","8946","8898","17844"
"39","9351","9274","18625"
"40","9639","9811","19450"
"41","10365","10334","20699"
"42","10522","10772","21294"
"43","11013","10891","21904"
"44","11401","11620","23021"
"45","11843","11742","23585"
"46","11534","11713","23247"
"47","11724","11770","23494"
"48","11975","12287","24262"
"49","11693","11801","23494"
"50","11901","12487","24388"
"51","11883","12167","24050"
"52","11824","12301","24125"
"53","11961","12323","24284"
"54","11996","12164","24160"
"55","12293","12560","24853"
"56","11506","12011","23517"
"57","11153","11233","22386"
"58","11148","11488","22636"
"59","10594","11201","21795"
"60","10190","11010","21200"
"61","9931","10631","20562"
"62","9629","10454","20083"
"63","9599","10599","20198"
"64","9217","10186","19403"
"65","9002","9694","18696"
"66","8665","9485","18150"
"67","8727","9333","18060"
"68","8726","9554","18280"
"69","8882","9652","18534"
"70","8508","9345","17853"
"71","8648","9660","18308"
"72","8361","9228","17589"
"73","8168","9377","17545"
"74","6773","7637","14410"
"75","6364","7467","13831"
"76","6639","7785","14424"
"77","6113","7422","13535"
"78","5928","7486","13414"
"79","6578","8454","15032"
"80","6599","8467","15066"
"81","6321","8443","14764"
"82","5555","7368","12923"
"83","4680","6841","11521"
"84","4596","6890","11486"
"85","4136","6214","10350"
"86","3549","5772","9321"
"87","2919","5009","7928"
"88","2756","4923","7679"
"89","2314","4473","6787"
"90","1814","3572","5386"
"91","1460","3203","4663"
"92","1197","2854","4051"
"93","849","2366","3215"
"94","672","1884","2556"
"95","418","1364","1782"
"96","329","1039","1368"
"97","202","733","935"
"98","128","563","691"
"99","94","352","446"
"100 and over","69","378","447"
"Total","735691","776981","1512672"
