"Age","Total males","Total females","Total"
"0","983","905","1888"
"1","949","914","1863"
"2","1083","996","2079"
"3","1029","997","2026"
"4","1096","1019","2115"
"5","1153","1000","2153"
"6","1119","1073","2192"
"7","1175","1070","2245"
"8","1164","1152","2316"
"9","1283","1161","2444"
"10","1183","1088","2271"
"11","1304","1167","2471"
"12","1271","1210","2481"
"13","1268","1211","2479"
"14","1336","1212","2548"
"15","1371","1195","2566"
"16","1358","1245","2603"
"17","1351","1321","2672"
"18","1426","1314","2740"
"19","1484","1383","2867"
"20","1588","1377","2965"
"21","1722","1420","3142"
"22","1666","1410","3076"
"23","1601","1476","3077"
"24","1630","1510","3140"
"25","1735","1505","3240"
"26","1737","1580","3317"
"27","1779","1648","3427"
"28","1833","1563","3396"
"29","1738","1604","3342"
"30","1742","1607","3349"
"31","1767","1619","3386"
"32","1833","1595","3428"
"33","1762","1578","3340"
"34","1768","1670","3438"
"35","1779","1648","3427"
"36","1826","1653","3479"
"37","1823","1760","3583"
"38","1866","1779","3645"
"39","1822","1764","3586"
"40","1924","1873","3797"
"41","1971","1931","3902"
"42","1989","1974","3963"
"43","2146","1920","4066"
"44","2202","2122","4324"
"45","2276","2223","4499"
"46","2143","2197","4340"
"47","2211","2246","4457"
"48","2210","2218","4428"
"49","2213","2225","4438"
"50","2299","2384","4683"
"51","2316","2379","4695"
"52","2344","2477","4821"
"53","2378","2508","4886"
"54","2419","2465","4884"
"55","2530","2523","5053"
"56","2372","2322","4694"
"57","2249","2317","4566"
"58","2291","2233","4524"
"59","2283","2354","4637"
"60","2168","2276","4444"
"61","1989","2215","4204"
"62","2070","2134","4204"
"63","2101","2096","4197"
"64","2025","2096","4121"
"65","2003","2155","4158"
"66","1849","1937","3786"
"67","1893","2019","3912"
"68","1748","1857","3605"
"69","1893","1985","3878"
"70","1975","2055","4030"
"71","1903","2002","3905"
"72","1782","1926","3708"
"73","1678","1730","3408"
"74","1246","1395","2641"
"75","1192","1379","2571"
"76","1105","1290","2395"
"77","1074","1223","2297"
"78","1111","1412","2523"
"79","1235","1578","2813"
"80","1242","1691","2933"
"81","1068","1374","2442"
"82","999","1407","2406"
"83","926","1425","2351"
"84","877","1353","2230"
"85","833","1305","2138"
"86","724","1215","1939"
"87","596","1054","1650"
"88","538","940","1478"
"89","486","985","1471"
"90","383","757","1140"
"91","270","641","911"
"92","219","597","816"
"93","171","469","640"
"94","113","343","456"
"95","99","294","393"
"96","67","202","269"
"97","48","171","219"
"98","43","119","162"
"99","18","79","97"
"100 and over","24","92","116"
"Total","147953","152563","300516"
