"Age","Total males","Total females","Total"
"0","19488","18195","37683"
"1","20256","19203","39459"
"2","20891","19611","40502"
"3","20751","19838","40589"
"4","21529","20374","41903"
"5","22057","20915","42972"
"6","21726","20690","42416"
"7","22710","21832","44542"
"8","22821","21821","44642"
"9","23580","22622","46202"
"10","24275","22932","47207"
"11","24683","23379","48062"
"12","24463","23301","47764"
"13","25352","23396","48748"
"14","25611","24088","49699"
"15","26092","24534","50626"
"16","25985","24631","50616"
"17","26176","24719","50895"
"18","27305","25070","52375"
"19","28659","25340","53999"
"20","28678","25985","54663"
"21","28075","25643","53718"
"22","28022","25752","53774"
"23","27871","26180","54051"
"24","27989","26453","54442"
"25","28555","26938","55493"
"26","29130","27961","57091"
"27","30233","28989","59222"
"28","29629","28535","58164"
"29","29762","28777","58539"
"30","29554","28983","58537"
"31","29804","28980","58784"
"32","28961","28320","57281"
"33","29061","28271","57332"
"34","29050","28774","57824"
"35","29539","29453","58992"
"36","29237","28994","58231"
"37","30104","30026","60130"
"38","30018","30211","60229"
"39","31125","31282","62407"
"40","31279","31818","63097"
"41","32277","32617","64894"
"42","32518","33320","65838"
"43","34156","34892","69048"
"44","35059","35749","70808"
"45","36070","37287","73357"
"46","35331","36689","72020"
"47","35515","36900","72415"
"48","35899","37950","73849"
"49","35313","37800","73113"
"50","36784","38684","75468"
"51","36149","38350","74499"
"52","36539","38690","75229"
"53","36149","38539","74688"
"54","35700","38390","74090"
"55","36835","39178","76013"
"56","34654","37217","71871"
"57","34267","37317","71584"
"58","33390","36380","69770"
"59","33158","36595","69753"
"60","31691","34474","66165"
"61","30481","33517","63998"
"62","30309","33475","63784"
"63","29441","32703","62144"
"64","29611","32169","61780"
"65","28805","32276","61081"
"66","26652","29500","56152"
"67","26145","29250","55395"
"68","25937","28659","54596"
"69","26466","29640","56106"
"70","26276","29773","56049"
"71","26951","30604","57555"
"72","26240","30044","56284"
"73","23517","27529","51046"
"74","19755","23006","42761"
"75","18483","22064","40547"
"76","17194","20955","38149"
"77","16504","20735","37239"
"78","16017","20565","36582"
"79","17594","23159","40753"
"80","16466","21729","38195"
"81","14937","20477","35414"
"82","12769","18005","30774"
"83","11808","16991","28799"
"84","10951","16390","27341"
"85","10100","15647","25747"
"86","8991","14285","23276"
"87","7280","12422","19702"
"88","6248","11220","17468"
"89","5666","10748","16414"
"90","4041","8157","12198"
"91","3275","6976","10251"
"92","2500","5317","7817"
"93","1862","4577","6439"
"94","1355","3483","4838"
"95","988","2813","3801"
"96","655","1859","2514"
"97","452","1415","1867"
"98","296","903","1199"
"99","178","651","829"
"100 and over","206","826","1032"
"Total","2370942","2504348","4875290"
