"Age","Total males","Total females","Total"
"0","19697","18465","38162"
"1","21734","20595","42329"
"2","22860","21447","44307"
"3","23953","22637","46590"
"4","24335","23446","47781"
"5","25615","23898","49513"
"6","25957","24493","50450"
"7","27324","26009","53333"
"8","27399","25896","53295"
"9","28116","26493","54609"
"10","28338","26442","54780"
"11","28167","27037","55204"
"12","28661","26769","55430"
"13","28261","26734","54995"
"14","27449","25800","53249"
"15","27681","26000","53681"
"16","27280","25891","53171"
"17","27007","25264","52271"
"18","27298","25435","52733"
"19","28048","25741","53789"
"20","27906","25341","53247"
"21","28682","25641","54323"
"22","28497","25708","54205"
"23","28798","25964","54762"
"24","29169","26174","55343"
"25","29051","26776","55827"
"26","29243","27614","56857"
"27","30659","28907","59566"
"28","30248","28913","59161"
"29","31252","29918","61170"
"30","31230","30280","61510"
"31","32167","31538","63705"
"32","31687","31721","63408"
"33","32079","31744","63823"
"34","33454","33416","66870"
"35","34722","34341","69063"
"36","35567","35038","70605"
"37","36661","36860","73521"
"38","36780","37582","74362"
"39","37605","38236","75841"
"40","38659","39579","78238"
"41","40660","41853","82513"
"42","41497","42593","84090"
"43","42878","44780","87658"
"44","45028","47066","92094"
"45","46529","49270","95799"
"46","46614","49180","95794"
"47","46966","49806","96772"
"48","46873","49854","96727"
"49","47022","49621","96643"
"50","47322","50650","97972"
"51","46692","50158","96850"
"52","46501","50400","96901"
"53","47286","49996","97282"
"54","47144","49959","97103"
"55","47563","51032","98595"
"56","44355","47906","92261"
"57","42379","45800","88179"
"58","41033","44646","85679"
"59","39124","42884","82008"
"60","37695","41593","79288"
"61","35867","39947","75814"
"62","35154","39131","74285"
"63","34400","38022","72422"
"64","33567","37448","71015"
"65","32588","36866","69454"
"66","30600","34675","65275"
"67","29698","33710","63408"
"68","29014","33364","62378"
"69","29674","34076","63750"
"70","29442","33961","63403"
"71","30489","35866","66355"
"72","30137","35125","65262"
"73","28556","34408","62964"
"74","21868","26876","48744"
"75","21717","26670","48387"
"76","21986","28028","50014"
"77","20998","26930","47928"
"78","20768","26866","47634"
"79","21934","29382","51316"
"80","20627","27777","48404"
"81","18948","26319","45267"
"82","16628","23840","40468"
"83","14674","21739","36413"
"84","13955","20969","34924"
"85","12048","19514","31562"
"86","10448","17386","27834"
"87","8811","15478","24289"
"88","7801","14192","21993"
"89","6742","13482","20224"
"90","5173","10558","15731"
"91","3921","8962","12883"
"92","3019","7417","10436"
"93","2323","6106","8429"
"94","1601","4630","6231"
"95","1216","3658","4874"
"96","852","2766","3618"
"97","598","1968","2566"
"98","369","1443","1812"
"99","272","958","1230"
"100 and over","241","1176","1417"
"Total","2779181","2976519","5755700"
