"Age","Total males","Total females","Total"
"0","14145","13640","27785"
"1","14705","14291","28996"
"2","15653","15180","30833"
"3","16397","15656","32053"
"4","17102","15731","32833"
"5","17441","16740","34181"
"6","18050","17015","35065"
"7","18764","17650","36414"
"8","19087","17611","36698"
"9","19364","18213","37577"
"10","19847","18804","38651"
"11","20113","18823","38936"
"12","20004","18908","38912"
"13","19762","18588","38350"
"14","19675","18479","38154"
"15","19753","18360","38113"
"16","19757","18497","38254"
"17","19259","18458","37717"
"18","19628","18381","38009"
"19","20637","19002","39639"
"20","20734","18520","39254"
"21","21331","18762","40093"
"22","20902","19012","39914"
"23","20810","18639","39449"
"24","20627","18781","39408"
"25","20662","19165","39827"
"26","20976","19503","40479"
"27","21675","20284","41959"
"28","21786","20520","42306"
"29","22538","20963","43501"
"30","22017","20897","42914"
"31","22635","21550","44185"
"32","21795","21395","43190"
"33","22323","21565","43888"
"34","22741","22372","45113"
"35","22748","22647","45395"
"36","23519","23286","46805"
"37","24452","24252","48704"
"38","24403","24499","48902"
"39","25117","25154","50271"
"40","25911","25657","51568"
"41","27565","27588","55153"
"42","28821","29281","58102"
"43","30200","30574","60774"
"44","31976","32480","64456"
"45","33644","33676","67320"
"46","33715","33500","67215"
"47","34413","34456","68869"
"48","34671","35322","69993"
"49","34385","34910","69295"
"50","35587","36165","71752"
"51","35346","35893","71239"
"52","35206","35985","71191"
"53","35622","36102","71724"
"54","35273","36100","71373"
"55","35588","36833","72421"
"56","33214","34336","67550"
"57","31664","33346","65010"
"58","31334","32928","64262"
"59","30245","31931","62176"
"60","29727","30853","60580"
"61","28732","30166","58898"
"62","28451","30065","58516"
"63","27618","29505","57123"
"64","27097","28873","55970"
"65","26451","28710","55161"
"66","25577","27574","53151"
"67","25523","27418","52941"
"68","24613","27272","51885"
"69","25514","28492","54006"
"70","25785","28591","54376"
"71","26824","30125","56949"
"72","26107","29252","55359"
"73","25079","28530","53609"
"74","18908","21790","40698"
"75","19831","23396","43227"
"76","19100","23468","42568"
"77","19110","23452","42562"
"78","18710","23720","42430"
"79","19977","25661","45638"
"80","19222","25183","44405"
"81","18149","24084","42233"
"82","15730","21671","37401"
"83","13802","19491","33293"
"84","12837","19270","32107"
"85","11060","17670","28730"
"86","9391","16050","25441"
"87","8226","14955","23181"
"88","7138","13711","20849"
"89","6328","12744","19072"
"90","4736","10477","15213"
"91","3580","8644","12224"
"92","2813","7260","10073"
"93","1934","5762","7696"
"94","1373","4440","5813"
"95","966","3325","4291"
"96","704","2549","3253"
"97","437","1974","2411"
"98","276","1334","1610"
"99","166","842","1008"
"100 and over","142","954","1096"
"Total","2095058","2216159","4311217"
