"Age","Total males","Total females","Total"
"0","13955","13171","27126"
"1","14770","13646","28416"
"2","15104","14543","29647"
"3","15745","14852","30597"
"4","15835","15136","30971"
"5","16773","15645","32418"
"6","17002","16059","33061"
"7","17709","16568","34277"
"8","18212","17171","35383"
"9","18776","17780","36556"
"10","19033","17922","36955"
"11","19306","18167","37473"
"12","19591","18324","37915"
"13","19525","18637","38162"
"14","20075","18791","38866"
"15","20477","19790","40267"
"16","20733","19865","40598"
"17","20852","19919","40771"
"18","21746","20299","42045"
"19","22251","20876","43127"
"20","22662","20478","43140"
"21","22593","20560","43153"
"22","22436","20589","43025"
"23","22357","20879","43236"
"24","22303","20761","43064"
"25","22352","20914","43266"
"26","22779","21513","44292"
"27","23631","22407","46038"
"28","23123","22007","45130"
"29","23105","21826","44931"
"30","22323","22094","44417"
"31","23131","22377","45508"
"32","22479","22085","44564"
"33","22455","21744","44199"
"34","22130","22104","44234"
"35","22758","23114","45872"
"36","23136","23051","46187"
"37","23593","24118","47711"
"38","23830","24600","48430"
"39","24791","25048","49839"
"40","26197","26336","52533"
"41","27096","27193","54289"
"42","28166","28316","56482"
"43","29075","29581","58656"
"44","29923","30318","60241"
"45","30282","31500","61782"
"46","29408","30463","59871"
"47","29115","29875","58990"
"48","29740","30668","60408"
"49","29519","30521","60040"
"50","29848","31736","61584"
"51","29980","31808","61788"
"52","30521","32051","62572"
"53","30677","32334","63011"
"54","30420","32582","63002"
"55","30986","32919","63905"
"56","28515","30773","59288"
"57","27804","29944","57748"
"58","27482","29649","57131"
"59","26785","28772","55557"
"60","25902","28275","54177"
"61","24227","27060","51287"
"62","24746","27181","51927"
"63","23939","26472","50411"
"64","23694","26222","49916"
"65","23105","25313","48418"
"66","22201","24493","46694"
"67","21194","23495","44689"
"68","21878","24189","46067"
"69","22421","24893","47314"
"70","22233","24666","46899"
"71","23184","26214","49398"
"72","21645","24485","46130"
"73","20807","24241","45048"
"74","17601","20157","37758"
"75","15445","18294","33739"
"76","15160","18123","33283"
"77","15150","18433","33583"
"78","14072","17264","31336"
"79","14831","18529","33360"
"80","13946","18288","32234"
"81","12657","17015","29672"
"82","11329","15902","27231"
"83","9964","14295","24259"
"84","9390","13866","23256"
"85","8395","12956","21351"
"86","7253","11676","18929"
"87","6227","10560","16787"
"88","5408","9491","14899"
"89","4773","8833","13606"
"90","3528","7024","10552"
"91","2817","6014","8831"
"92","2263","5088","7351"
"93","1561","3860","5421"
"94","1169","2934","4103"
"95","836","2139","2975"
"96","615","1744","2359"
"97","411","1214","1625"
"98","246","832","1078"
"99","157","568","725"
"100 and over","176","706","882"
"Total","1923532","2029773","3953305"
