"Age","Total males","Total females","Total"
"0","4424","4293","8717"
"1","4754","4457","9211"
"2","5176","4830","10006"
"3","5408","5015","10423"
"4","5717","5250","10967"
"5","5828","5424","11252"
"6","5970","5644","11614"
"7","6331","5875","12206"
"8","6609","6234","12843"
"9","6865","6379","13244"
"10","6938","6339","13277"
"11","6848","6479","13327"
"12","6801","6496","13297"
"13","6961","6433","13394"
"14","7017","6459","13476"
"15","6891","6375","13266"
"16","7117","6637","13754"
"17","6949","6588","13537"
"18","7132","6751","13883"
"19","7597","6844","14441"
"20","7690","6689","14379"
"21","7575","6538","14113"
"22","7587","6639","14226"
"23","7779","6720","14499"
"24","7940","6925","14865"
"25","7930","7105","15035"
"26","8042","7457","15499"
"27","8363","7790","16153"
"28","8596","7884","16480"
"29","8769","8257","17026"
"30","8824","8158","16982"
"31","8872","8363","17235"
"32","8912","8492","17404"
"33","8863","8554","17417"
"34","9273","8846","18119"
"35","9525","8913","18438"
"36","9579","9363","18942"
"37","10236","9754","19990"
"38","10085","9965","20050"
"39","10730","10125","20855"
"40","10588","10462","21050"
"41","11782","11308","23090"
"42","12024","11493","23517"
"43","12380","12088","24468"
"44","12958","12763","25721"
"45","13758","13110","26868"
"46","13690","13191","26881"
"47","13439","13136","26575"
"48","13078","13469","26547"
"49","13228","12985","26213"
"50","13507","13562","27069"
"51","12974","13374","26348"
"52","13541","13653","27194"
"53","13569","13854","27423"
"54","13588","13756","27344"
"55","13807","14099","27906"
"56","12979","13695","26674"
"57","12692","13305","25997"
"58","12336","13115","25451"
"59","12153","12509","24662"
"60","11773","12344","24117"
"61","11535","12147","23682"
"62","11437","12210","23647"
"63","11188","11944","23132"
"64","10855","11535","22390"
"65","11009","11642","22651"
"66","10445","11043","21488"
"67","10181","10951","21132"
"68","9898","10800","20698"
"69","9968","10736","20704"
"70","9622","10381","20003"
"71","9616","10636","20252"
"72","9162","10140","19302"
"73","8586","9327","17913"
"74","7730","8896","16626"
"75","7408","8712","16120"
"76","6823","8586","15409"
"77","6992","8595","15587"
"78","6228","7986","14214"
"79","6683","8748","15431"
"80","6162","8016","14178"
"81","5268","7217","12485"
"82","4663","6645","11308"
"83","4312","6305","10617"
"84","3596","5745","9341"
"85","3615","5606","9221"
"86","3244","5204","8448"
"87","2651","4648","7299"
"88","2293","4017","6310"
"89","2064","3901","5965"
"90","1550","3283","4833"
"91","1241","2805","4046"
"92","921","2235","3156"
"93","767","1835","2602"
"94","480","1334","1814"
"95","374","1127","1501"
"96","279","754","1033"
"97","198","579","777"
"98","126","377","503"
"99","82","306","388"
"100 and over","97","361","458"
"Total","791696","819925","1611621"
