"Age","Total males","Total females","Total"
"0","11780","11440","23220"
"1","12555","12158","24713"
"2","13426","12686","26112"
"3","13853","13178","27031"
"4","14333","13269","27602"
"5","14974","14187","29161"
"6","15197","14270","29467"
"7","15961","15328","31289"
"8","16251","15417","31668"
"9","16807","15897","32704"
"10","16895","15945","32840"
"11","17587","16269","33856"
"12","17432","16115","33547"
"13","17160","16116","33276"
"14","17146","16019","33165"
"15","17135","16009","33144"
"16","16743","15605","32348"
"17","16905","15684","32589"
"18","16889","15758","32647"
"19","17340","15835","33175"
"20","17235","15268","32503"
"21","17731","15543","33274"
"22","17448","15606","33054"
"23","17320","15760","33080"
"24","17118","15676","32794"
"25","17037","16044","33081"
"26","17451","16201","33652"
"27","18189","17385","35574"
"28","18135","17342","35477"
"29","19152","18102","37254"
"30","18666","18264","36930"
"31","19390","19005","38395"
"32","18912","18661","37573"
"33","18577","19099","37676"
"34","19522","19940","39462"
"35","19973","20153","40126"
"36","20441","20841","41282"
"37","21207","21309","42516"
"38","21424","21687","43111"
"39","22168","22249","44417"
"40","23061","23522","46583"
"41","24465","24939","49404"
"42","25363","25913","51276"
"43","26414","27341","53755"
"44","27843","28727","56570"
"45","29208","30141","59349"
"46","29231","30361","59592"
"47","29746","30349","60095"
"48","29813","30751","60564"
"49","29638","29841","59479"
"50","30101","30964","61065"
"51","29428","30767","60195"
"52","29534","31065","60599"
"53","30202","31158","61360"
"54","30110","31215","61325"
"55","30251","31637","61888"
"56","28184","29584","57768"
"57","27072","28578","55650"
"58","26242","28224","54466"
"59","25663","27131","52794"
"60","24998","26502","51500"
"61","23537","25960","49497"
"62","23068","25271","48339"
"63","22680","24940","47620"
"64","22025","24584","46609"
"65","21694","24355","46049"
"66","20825","22804","43629"
"67","20375","22753","43128"
"68","20413","22423","42836"
"69","20861","23185","44046"
"70","21550","24312","45862"
"71","22807","25819","48626"
"72","22412","25887","48299"
"73","22404","25872","48276"
"74","17084","20090","37174"
"75","16846","19941","36787"
"76","16537","19990","36527"
"77","15516","19100","34616"
"78","15500","19734","35234"
"79","16774","21976","38750"
"80","15997","20744","36741"
"81","15497","20502","35999"
"82","13212","18356","31568"
"83","11504","16303","27807"
"84","11080","16241","27321"
"85","9554","14598","24152"
"86","8429","13481","21910"
"87","7161","12378","19539"
"88","6403","11618","18021"
"89","5604","10991","16595"
"90","4311","9063","13374"
"91","3436","7894","11330"
"92","2777","6558","9335"
"93","2073","5308","7381"
"94","1389","4289","5678"
"95","1065","3354","4419"
"96","746","2558","3304"
"97","450","1842","2292"
"98","331","1350","1681"
"99","190","908","1098"
"100 and over","169","875","1044"
"Total","1784318","1908237","3692555"
