ITTER107,Region,Age,Total males,Total females,Total
ITC1,Piemonte,15,19722,18470,38192
ITC1,Piemonte,16,19208,18438,37646
ITC1,Piemonte,17,19424,18293,37717
ITC1,Piemonte,18,20405,18838,39243
ITC1,Piemonte,19,20536,18327,38863
ITC1,Piemonte,20,21246,18598,39844
ITC1,Piemonte,21,20799,18866,39665
ITC1,Piemonte,22,20696,18404,39100
ITC1,Piemonte,23,20519,18588,39107
ITC1,Piemonte,24,20496,18995,39491
ITC1,Piemonte,25,20712,19283,39995
ITC1,Piemonte,Total,223763,205100,428863
ITC2,Valle d'Aosta / Vallée d'Aoste,15,591,589,1180
ITC2,Valle d'Aosta / Vallée d'Aoste,16,599,517,1116
ITC2,Valle d'Aosta / Vallée d'Aoste,17,624,557,1181
ITC2,Valle d'Aosta / Vallée d'Aoste,18,641,589,1230
ITC2,Valle d'Aosta / Vallée d'Aoste,19,640,573,1213
ITC2,Valle d'Aosta / Vallée d'Aoste,20,634,564,1198
ITC2,Valle d'Aosta / Vallée d'Aoste,21,589,541,1130
ITC2,Valle d'Aosta / Vallée d'Aoste,22,641,573,1214
ITC2,Valle d'Aosta / Vallée d'Aoste,23,608,559,1167
ITC2,Valle d'Aosta / Vallée d'Aoste,24,574,560,1134
ITC2,Valle d'Aosta / Vallée d'Aoste,25,586,554,1140
ITC2,Valle d'Aosta / Vallée d'Aoste,Total,6727,6176,12903
ITC3,Liguria,15,6413,5948,12361
ITC3,Liguria,16,6540,6116,12656
ITC3,Liguria,17,6532,6242,12774
ITC3,Liguria,18,6845,6239,13084
ITC3,Liguria,19,6970,6063,13033
ITC3,Liguria,20,7119,6184,13303
ITC3,Liguria,21,7007,6259,13266
ITC3,Liguria,22,7278,6239,13517
ITC3,Liguria,23,6921,6269,13190
ITC3,Liguria,24,6877,6372,13249
ITC3,Liguria,25,7036,6543,13579
ITC3,Liguria,Total,75538,68474,144012
ITC4,Lombardia,15,48457,45255,93712
ITC4,Lombardia,16,47811,44657,92468
ITC4,Lombardia,17,48347,45187,93534
ITC4,Lombardia,18,49566,45632,95198
ITC4,Lombardia,19,49538,44933,94471
ITC4,Lombardia,20,50850,44754,95604
ITC4,Lombardia,21,50216,44876,95092
ITC4,Lombardia,22,49525,44914,94439
ITC4,Lombardia,23,48715,44610,93325
ITC4,Lombardia,24,48781,45378,94159
ITC4,Lombardia,25,49448,46560,96008
ITC4,Lombardia,Total,541254,496756,1038010
ITD3,Veneto,15,23790,22569,46359
ITD3,Veneto,16,23735,22114,45849
ITD3,Veneto,17,23622,21963,45585
ITD3,Veneto,18,24609,22948,47557
ITD3,Veneto,19,24218,22742,46960
ITD3,Veneto,20,25010,22689,47699
ITD3,Veneto,21,24924,22792,47716
ITD3,Veneto,22,24742,22476,47218
ITD3,Veneto,23,24448,21975,46423
ITD3,Veneto,24,24173,22511,46684
ITD3,Veneto,25,24067,23025,47092
ITD3,Veneto,Total,267338,247804,515142
ITD4,Friuli-Venezia Giulia,15,5465,5022,10487
ITD4,Friuli-Venezia Giulia,16,5329,5013,10342
ITD4,Friuli-Venezia Giulia,17,5474,5002,10476
ITD4,Friuli-Venezia Giulia,18,5588,5233,10821
ITD4,Friuli-Venezia Giulia,19,5508,4991,10499
ITD4,Friuli-Venezia Giulia,20,5584,5025,10609
